name,country,city,type,address,website,email,phone,status
Tabletop Village,United States,Seattle,Collectibles & Tabletop Game Store,"616 8th Ave S, Seattle, WA 98104",https://tabletopvillage.com,info@tabletopvillage.com,(206) 880-8654,
Waystone Wargaming,United States,Seattle,Miniatures Gaming Club & Speakeasy,"2232 NW Market St Suite 204, Seattle, WA 98107",https://waystonewargaming.com,info@waystonewargaming.com,N/A,
Kobo Seattle,United States,Seattle,Japanese and Asian-inspired design shop,"603 S Main St, Seattle, WA 98104",https://koboseattle.com,hello@koboseattle.com,(206) 381-3000,
Venue Ballard,United States,Seattle,Home goods and gift shop,"5408 22nd Ave NW, Seattle, WA 98107",https://venueballard.com,venueballard@gmail.com,(206) 789-3335,
Ada's Technical Books and Cafe,United States,Seattle,Bookstore and cafe,"425 15th Ave E, Seattle, WA 98112",https://adasbooks.com,bookseller@adasbooks.com,(206) 322-1058,
Left Bank Books Collective,United States,Seattle,Independent bookstore,"92 Pike St, Seattle, WA 98101",https://leftbankbooks.com,leftbank@leftbankbooks.com,(206) 622-0195,
Paper Boat Booksellers,United States,Seattle,Independent bookstore,"4522 California Ave SW, Seattle, WA 98116",https://paperboatbooksellers.com,info@paperboatbooksellers.com,(206) 743-8283,
The Wizard's Chest,United States,Denver,Toy and Game Store,"451 Broadway, Denver, CO 80203",https://wizardschest.com,thewizard@wizardschest.com,(303) 321-4304,
Enchanted Grounds (Littleton),United States,Denver,Tabletop Cafe and Game Store,"3615 W Bowles Ave #5, Littleton, CO 80123",https://enchantedgrounds.com,shopeg@enchantedgrounds.com,(303) 795-0772,
Total Escape Games,United States,Denver,Game and Hobby Store,"6831 W 120th Ave Ste C, Broomfield, CO 80020",https://totalescapegames.com,store@totalescapegames.com,(303) 482-1829,
The Tabletop Tap,United States,Denver,Tabletop Cafe,"3422 S Broadway, Englewood, CO 80113",https://tabletoptap.com,tabletoptap@gmail.com,(720) 287-0155,
Pacific Mercantile Company,United States,Denver,Japanese Store / Asian Lifestyle Store,"1925 Lawrence St., Denver, CO 80202",https://pacificeastwest.com,info@pacificmercantile.com,303-295-0293,
Mutiny Information Cafe,United States,Denver,Bookstore,"2 S. Broadway, Denver, CO 80209",https://mutinyinfocafe.com,info@mutinyinfocafe.com,303-778-7579,
West Side Books,United States,Denver,Bookstore,"3434 W. 32nd Ave., Suite A, Denver, CO 80211",https://westsidebooks.com,bookelves@westsidebooks.com,303-480-0220,
The Next Level Games,United States,Nashville,Game Shop,"2066 Gallatin Pike N, Madison, TN 37115",https://tnlgnashville.com,info@tnlg.net,(615) 420-6662,
Comix City Too!,United States,Nashville,Comic & Game Shop,"1574 Gallatin Pike N, Madison, TN 37115",https://comixcitytoo.com,comixcitytoo@gmail.com,(615) 868-3339,
Tabletops Hobbies & Games,United States,Nashville,Game Shop,"2645 Murfreesboro Pike, Nashville, TN 37217",https://tabletopshobbiesandgames.crystalcommerce.com,tabletopshobbiesandgames@gmail.com,(615) 678-1489,
McKay's,United States,Nashville,Used Bookstore & Media Store,"636 Old Hickory Blvd, Nashville, TN 37209",https://www.mckaybooks.com,support@mckaybooks.com,(615) 353-2595,
Nashville Toys and Books,United States,Nashville,Toy Store,"2002 Richard Jones Rd, Nashville, TN 37215",https://www.nashvilletoysandbooks.com,info@nashvilletoysandbooks.com,(615) 800-7754,
Novelette Booksellers,United States,Nashville,Bookstore,"1101 Chapel Avenue, Suite 108, Nashville, TN 37206",https://www.novelettebooksellers.com,hi@novelettebooksellers.com,N/A,
The Green Ray,United States,Nashville,Bookstore / Concept Store,"3237B Gallatin Pike, Nashville, TN 37216",https://thegreenraybooks.com,thegreenraybooks@gmail.com,N/A,
Made in TN,United States,Nashville,Gift Shop,"2905 12th Avenue South, Suite 102, Nashville, TN 37204",https://shopmadeintn.com,sales@shopmadeintn.com,(615) 337-2517,
White's Mercantile,United States,Nashville,Gift Shop / Concept Store,"2400 12th Avenue South, Nashville, TN 37204",https://shopwhitesmercantile.com,info@shopwhitesmercantile.com,(615) 750-5379,
