name,country,city,type,address,website,email,phone,status
La Importadora Shop & Gallery,Spain,Seville,Concept store,"Calle Pérez Galdós, 2, 41004 Sevilla, Spain",https://placidoygratahotel.com/la-importadora-shop-gallery/,hola@placidoygratahotel.com,+34 955 44 30 30,
Isadora Shop,Spain,Seville,Concept store,"Calle Don Alonso el Sabio, 11, 41004 Sevilla, Spain",https://isadorashop.com/,info@isadorashop.com,+34 722 53 98 10,
Casa Tomada,Spain,Seville,Bookstore,"Calle Muro de los Navarros, 66, 41003 Sevilla, Spain",https://casatomada.es/,info@casatomada.es,+34 955 517 057,
TPK Hobby & Games,Spain,Zaragoza,Hobby and Game Shop,"Calle de San Vicente de Paúl, 19, 50001 Zaragoza",https://tpkhobbygames.com,info@tpkhobbygames.com,,
Mononoke Board Game Café,Spain,Zaragoza,Tabletop Cafe,"Camino de las Torres, 116, 50007 Zaragoza",https://mononokecafe.com,info@mononokecafe.com,+34 876 44 32 46,
Doctor Ocio,Spain,Zaragoza,Game and Hobby Shop,"Calle de San Vicente de Paúl, 25, 50001 Zaragoza",https://doctorocio.es,info@doctorocio.es,,
Cucumber Comics,Spain,Zaragoza,Comic Shop,"Calle José García Sánchez, 29, 50005 Zaragoza",https://cucumbercomics.com,tienda@cucumbercomics.com,+34 614 28 89 52,
Comics Futuro,Spain,Zaragoza,Comic Shop,"Calle de Antonio Valcarreres, 7, 50004 Zaragoza",https://comicsfuturo.com,informacion@comicsfuturo.com,+34 976 39 00 00,
Kits Zaragoza,Spain,Zaragoza,Hobby and Model Shop,"Calle de San Vicente de Paúl, 21, 50001 Zaragoza",https://kitszaragoza.com,kitszaragoza@gmail.com,,
Abracadabra Juguetes,Spain,Zaragoza,Toy Store,"Calle de San Vicente de Paúl, 23, 50001 Zaragoza",https://juguetesabracadabra.es,contigo@juguetesabracadabra.es,,
Espacio Tōhō,Spain,Zaragoza,Tienda japonesa / Comida para llevar,"Calle Arzobispo Doménech, 14 (Mercado de Arzobispo Doménech), 50006 Zaragoza",https://espaciotoho.com,espaciotoho@gmail.com,696 61 32 12,
Comic Stores (Soho),Spain,Málaga,Tienda de cómics y juegos,"Calle Trinidad Grund, 11, 29001 Málaga",https://comicstores.es/,info@comicstores.es,952 213 056,
Comic Stores (Tilos),Spain,Málaga,Tienda de cómics y juegos,"Paseo de los Tilos, 30, 29006 Málaga",https://comicstores.es/,info@comicstores.es,952 362 856,
En Portada Cómics,Spain,Málaga,Tienda de cómics,"Calle Nosquera, 10, 29008 Málaga",http://enportadacomics.com/,admin@enportadacomics.com,952 603 250,
Tienda Mulligan,Spain,Málaga,Tienda friki (juegos y merchandising),"Centro Comercial Málaga Nostrum, Calle Jaén, 1, 29004 Málaga",https://tiendamulligan.com/,infocliente@tiendamulligan.com,951 692 474,
Librería Abadía,Spain,Málaga,Librería de antiguo y cómics,"Calle Tejón y Rodríguez, 9, 29008 Málaga",https://www.libreriaabadia.com/,librosoler@gmail.com,952 601 191,
Comic Stores Murcia,Spain,Murcia,Comic and Hobby Shop,"Gran Vía del Escultor Francisco Salzillo, 5, 30001 Murcia",https://comicstores.es,info@comicstores.es,868 78 39 01,
Hobby Modelismo,Spain,Murcia,Hobby Shop,"Calle Junterones, 6, 30008 Murcia",https://www.hobbymodelismo.es,info@hobbymodelismo.es,968 23 43 96,
EsFantasia,Spain,Murcia,Comic and Hobby Shop,"Calle Ortega y Gasset 9, Edificio Iberdrola, planta 6, 30009 Murcia",https://esfantasia.es,info@esfantasia.es,602 41 30 55,
Shinobi Online,Spain,Murcia,Comic and Hobby Shop,"Calle Mayor, 88, 30820 Alcantarilla, Murcia",https://shinobi.es,shinobi@shinobi.es,968 02 44 43,
Libros Traperos,Spain,Murcia,Bookstore,"Ronda de Garay, 39, 30003 Murcia, Spain",https://librostraperos.com,info@librostraperos.com,,
Interno,Spain,Murcia,Design shop,"Calle San Miguel, 1, 30005 Murcia, Spain",https://interno.es,interno@interno.es,+34 968 218 131,
Murcianadas,Spain,Murcia,Gift shop,"Murcia, Spain",https://murcianadas.com,hola@murcianadas.com,,
El Desván de Adriana,Spain,Murcia,Gift shop,"Murcia, Spain",https://eldesvandeadriana.es,info@eldesvandeadriana.es,,
La Biblioteca de Babel,Spain,Palma,Bookstore & Café,"Carrer Arabí, 3, 07003 Palma, Illes Balears, Spain",https://www.labibliotecadebabel.es,babel@labibliotecadebabel.es,+34 971 72 14 42,
Bazaar Palma,Spain,Palma,Homeware & Gift Shop,"Costa d'en Brossa, 17A, 07001 Palma, Illes Balears, Spain",http://bazaar-palma.com,bazaar@bazaar-palma.com,+34 971 78 19 65,
La Insular,Spain,Palma,Gift & Concept Shop,"Carrer de l'Argenteria, 8, 07001 Palma, Illes Balears, Spain",https://lainsular.com,lainsular@lainsular.com,+34 971 42 27 86,
Akzent,Spain,Palma,Bookstore & Language School,"Carrer del Carmen, 14, 07003 Palma, Illes Balears, Spain",https://www.akzent-palma.com,idiomas@akzent-palma.com,+34 971 71 99 94,
Freak World Canarias (CC Las Arenas),Spain,Las Palmas,Tienda de cultura pop y juegos,"Ctra. del Rincón, s/n, 35010 Las Palmas de Gran Canaria, Las Palmas, España",https://freakworldcanarias.com,info@freakworldcanarias.com,699 21 20 89,
Freak World Canarias (Triana),Spain,Las Palmas,Tienda de cultura pop y juegos,"Calle Clavel, 8, 35002 Las Palmas de Gran Canaria, Las Palmas, España",https://freakworldcanarias.com,info@freakworldcanarias.com,676 32 57 93,
Generación X,Spain,Bilbao,"Tienda especializada en cómics, juegos de mesa y rol",No existe ninguna tienda física de Generación X en Bilbao.,https://www.generacionx.es,contacto@generacionx.es,N/A,
Castilla Cómic,Spain,Valladolid,Comic and hobby shop,"Calle de la Merced, 1, 47001 Valladolid",https://castillacomic.es,info@castillacomic.es,983 30 55 22,
Colossal Store,Spain,Valladolid,Hobby and comic shop,"Calle Amadeo Arias, 10, 47014 Valladolid",https://colossalstore.es,info@colossalstore.es,680 32 26 03,
Justo Muñoz,Spain,Valladolid,Toy store,"Calle Teresa Gil, 24, 47002 Valladolid",https://justomunoz.es,clientes@justomunoz.es,983 30 79 59,
Dideco,Spain,Valladolid,Toy store,"Calle de Santiago, 15, 47001 Valladolid",https://dideco.es,dideco@dideco.es,983 35 77 11,
Distrito Zero,Spain,Valladolid,Hobby and board game shop,"Calle de la Estación, 47004 Valladolid",https://distritozero.es,info@distritozero.es,983 39 00 00,
