name,country,city,type,address,website,email,phone,status
retroworld.de UG,Germany,Stuttgart,game shop,"Adlerstraße 27, 70794 Filderstadt, Germany",https://www.retroworld.de/,info@retroworld.de,015568 328939,
Steiff Shop Stuttgart,Germany,Stuttgart,toy store,"Dorotheen Quartier, Karlstraße 4, 70173 Stuttgart, Germany",http://www.steiff.de/,info@steiff.com,0711 25992043,
Spielwaren Glaser,Germany,Stuttgart,toy store,"Marktstraße 43, 70372 Stuttgart, Germany",http://www.spielwaren-glaser.de/,shop@spielwaren-glaser.de,0711 567274,
BabyOne - The big baby stores,Germany,Stuttgart,toy store,"Heilbronner Str. 391, 70469 Stuttgart, Germany",https://www.babyone.de/fachmarkt/stuttgart-feuerbach/024?utm_source=google-mb&utm_medium=organic&utm_campaign=stuttgart-feuerbach-024,service@babyone.de,0711 8179818,
Ravensburger Markenstore Stuttgart,Germany,Stuttgart,toy store,"Mailänder Platz 7, 70173 Stuttgart, Germany",https://www.milaneo.com/shops/ravensburger/,info@milaneo.com,0711 88784483,
baby-walz Fachgeschäft Stuttgart,Germany,Stuttgart,toy store,"Königstraße 43B, 70173 Stuttgart, Germany",https://www.baby-walz.de/filiale-stuttgart/?utm_source=google&utm_medium=places&utm_campaign=Google+Places,uhrsonntaggeschlossenkontakttelefonnummer+497112296070e-mail-adressestuttgart@baby-walz.deanreisedu,0711 2296070,
Build-A-Bear Stuttgart,Germany,Stuttgart,toy store,"Königstraße 19 A, 70173 Stuttgart, Germany",https://buildabear.de/,service@buildabear.de,,
Rofu Kinderland Leonberg,Germany,Stuttgart,toy store,"Seeäckerstraße 5, 71229 Leonberg, Germany",https://www.rofu.de/filialen/#!/l/leonberg/glemseckstrasse-29/1198021,shop@rofu.de,07152 352720,
Japan Shop Izumi,Germany,Stuttgart,Japanese store,"Liststraße 26, 70180 Stuttgart, Germany",http://www.izumi.de/,post@izumi.de,0711 606895,
idee. Creativmarkt,Germany,Stuttgart,hobby shop,"Kronenstraße 4, 70173 Stuttgart, Germany",https://www.idee-shop.com/bastelladen-stuttgart/,service@idee-shop.com,0711 2536088,
boesner GmbH - Leinfelden-Echterdingen,Germany,Stuttgart,hobby shop,"Sielminger Str. 82, 70771 Leinfelden-Echterdingen, Germany",https://www.boesner.com/unsere-standorte/leinfelden-echterdingen,leinfelden@boesner.comboesner,0711 7974050,
Deko Maier,Germany,Stuttgart,hobby shop,"Rotebühlstraße 71, 70178 Stuttgart, Germany",http://www.deko-maier.de/,info@deko-maier.de,0711 617910,
Frankonia Stuttgart,Germany,Stuttgart,hobby shop,"Kronprinzstraße 6, 70173 Stuttgart, Germany",https://www.frankonia.de/service/filialen/stuttgart.html,stuttgart@frankonia.de,0711 237600,
Nanu-Nana Joachim Hoepp GmbH & Co.,Germany,Stuttgart,gift shop,"Königstraße 43, 70173 Stuttgart, Germany",https://unternehmen.nanu-nana.de/filiale/stuttgart-koenigstr-43a,info@nanu-nana.de,0711 293726,
Buchhandlung & Souvenir am Schlossplatz,Germany,Stuttgart,gift shop,"Königstraße 28, 70173 Stuttgart, Germany",https://www.koenigsbau-passagen.de/shops/roller-buch-presse/,info@koenigsbau-passagen.de,0711 294179,
Gourmet & Geschenke,Germany,Stuttgart,gift shop,"Sophienstraße 21, 70178 Stuttgart, Germany",https://www.gourmet-geschenke.com/,info@gourmet-geschenke.com,0711 88280132,
Tritschler Life Style,Germany,Stuttgart,gift shop,"Königstraße 44, 70173 Stuttgart, Germany",https://www.tritschler.com/,service@tritschler.com,0711 291414,
NANU-NANA,Germany,Stuttgart,gift shop,"Koenigsbau Passagen, Königstraße 26, 70173 Stuttgart, Germany",https://unternehmen.nanu-nana.de/filiale/stuttgart-koenigsbau-passagen-koenigstrasse-26,info@nanu-nana.de,0711 2200379,
Nanu-Nana,Germany,Stuttgart,gift shop,"MILANEO, Mailänder Platz 7, 70173 Stuttgart, Germany",https://unternehmen.nanu-nana.de/filiale/stuttgart-milaneo-mailaender-platz-7,info@nanu-nana.de,0711 90716213,
Manufactum Warenhaus,Germany,Stuttgart,gift shop,"Lautenschlagerstraße 16, 70173 Stuttgart, Germany",https://www.manufactum.de/manufactum-stuttgart-c199362/,info@manufactum.dekontaktm,0711 2202791,
Merz & Benzing,Germany,Stuttgart,gift shop,"Markthalle Stuttgart, Dorotheenstraße 4, 70173 Stuttgart, Germany",https://www.merz-benzing.de/,office@merz-benzing.de,0711 239840,
SCHREIBfant - Papier Puschmann GmbH & Co. KG,Germany,Stuttgart,gift shop,"Königstraße 49, 70173 Stuttgart, Germany",https://schreibfant.de/filialen/stuttgart-city,info@schreibfant.de,0711 87034404,
NiU NiU,Germany,Stuttgart,gift shop,"Hirschstraße 16, 70173 Stuttgart, Germany",https://www.niuniu-shop.de/,shuai.wang@niu-niu.shop.de,,
glore Stuttgart,Germany,Stuttgart,concept store,"Eberhardstraße 10, 70173 Stuttgart, Germany",http://www.glore.de/,sayhello@glore.de,0711 50451444,
