name,country,city,type,address,website,email,phone,status
Armada Games,United States,Tampa,Game Store,"10910 N 56th St, Tampa, FL 33617",https://shoparmada.com,info@armadagames.com,(813) 980-6080,
Coliseum of Comics (New Tampa),United States,Tampa,Comic & Game Store,"19402 Bruce B. Downs Blvd, Tampa, FL 33647",https://coliseumofcomics.com,connect@coliseumofcomics.com,(813) 528-8758,
Coliseum of Comics (South Tampa),United States,Tampa,Comic & Game Store,"5825 S. Dale Mabry Hwy, Tampa, FL 33611",https://coliseumofcomics.com,connect@coliseumofcomics.com,(813) 559-1018,
Green Shift Comics and Guitars,United States,Tampa,Comic & Hobby Store,"5713 N Nebraska Ave, Tampa, FL 33604",https://greenshiftcomics.com,greenshifttampa@gmail.com,(813) 238-4177,
Unlock Tampa Bay Visitors Center,United States,Tampa,Gift Shop / Visitors Center,"201 N. Franklin St, Ste 102, Tampa, FL 33602",https://visittampabay.com,dchim@visittampabay.com,(813) 223-2752,
Tubby & Coo's Mid-City Book Shop,United States,New Orleans,Book shop and tabletop gaming store,"631 N Carrollton Ave, New Orleans, LA 70119",https://www.tubbyandcoos.com,info@tubbyandcoos.com,(504) 598-5536,
PokéNOLA Collectibles,United States,New Orleans,Trading card game store,"5928 W Metairie Ave, Ste 1, Metairie, LA 70003",https://www.pokenola.com,scott@pokenola.com,(504) 302-2136,
Baldwin & Co.,United States,New Orleans,Bookstore & Cafe,"1030 Elysian Fields Ave, New Orleans, LA 70117",https://baldwinandcobooks.com,info@baldwinandcobooks.com,(504) 354-1741,
Garden District Book Shop,United States,New Orleans,Bookstore,"2727 Prytania St, Suite 14, New Orleans, LA 70130",https://gardendistrictbookshop.com,gardendistrictbookshop@gmail.com,(504) 895-2266,
Home Malone,United States,New Orleans,Gift Shop & Art Store,"629 N. Carrollton Ave, New Orleans, LA 70119",https://homemalonenola.com,hello@homemalonenola.com,(504) 324-8352,
Octavia Books,United States,New Orleans,Bookstore,"513 Octavia St, New Orleans, LA 70115",https://octaviabooks.com,bookworm@octaviabooks.com,(504) 899-7323,
Phina,United States,New Orleans,Gift Shop & Home Decor,"425 Harrison Ave, New Orleans, LA 70124",https://phinashop.com,phina@phinashop.com,(504) 571-5169,
Science Safari,United States,Raleigh,Toy Store / Hobby Shop,"1255 Kildaire Farm Rd, Cary, NC 27511",https://scisafari.com,sean@scisafari.com,(919) 460-6051,
Grand Asia Market,United States,Raleigh,Asian Lifestyle Store,"1253 Buck Jones Rd, Raleigh, NC 27606",https://grandasiamarket.com,raleigh@grandasiamarket.com,,
Tabletop Board Game Cafe,United States,Cleveland,Tabletop cafe,"1810 W 25th St, Cleveland, OH 44113, United States",http://www.tabletopcleve.com/,contact@tabletopcleve.com,(216) 512-3053,
Superscript Comics and Games,United States,Cleveland,Comic shop / Game shop,"13361 Madison Ave, Lakewood, OH 44107, United States",https://superscriptohio.com/,info@superscriptohio.com,(216) 712-6231,
Apple Jax Toys,United States,Cleveland,Toy store,"13002 Madison Ave, Lakewood, OH 44107, United States",https://applejaxtoys.com/,applejaxtoys@gmail.com,(216) 600-5111,
Mac's Backs-Books On Coventry,United States,Cleveland,Bookstore,"1820 Coventry Rd, Cleveland Heights, OH 44118",https://www.macsbacks.com,rosa.macsbacks@gmail.com,216-321-2665,
Visible Voice Books,United States,Cleveland,Bookstore,"4601 Lorain Ave, Cleveland, OH 44102",https://visiblevoicebooks.com,info@visiblevoicebooks.com,216-961-0084,
Clevo Books,United States,Cleveland,Bookstore,"1026 Euclid Ave, Cleveland, OH 44115",https://clevobooks.com,contact@clevobooks.com,216-369-1043,
Banyan Tree,United States,Cleveland,Gift Shop / Boutique,"2242 Professor Ave, Cleveland, OH 44113",https://shopbanyantree.com,orders@shopbanyantree.com,216-241-1209,
Game Masters,United States,Pittsburgh,Board Game Store / Tabletop Cafe,"398 Perry Highway, Pittsburgh, PA 15229",https://gamemasterspgh.com,phil@gamemasterspgh.com,(412) 367-4414,
Games Unlimited,United States,Pittsburgh,Board Game Store,"5876 Forbes Ave, Pittsburgh, PA 15217",https://gamesunl.com,sales@gamesunl.com,(412) 421-2288,
Drawbridge Games,United States,Pittsburgh,Game Shop,"4146 Library Road, Suite C, Pittsburgh, PA 15234",https://drawbridgegames.com,drawbridgegames@gmail.com,(412) 254-6151,
Eide's Entertainment,United States,Pittsburgh,Comic Shop,"1121 Penn Ave, Pittsburgh, PA 15222",https://eides.com,eides@eides.com,(412) 261-0900,
Pittsburgh Comics,United States,Pittsburgh,Comic Shop,"1724 E Carson St, Pittsburgh, PA 15203",https://pittsburghcomics.com,colin@pittsburghcomics.com,(412) 488-8888,
Geekadrome,United States,Pittsburgh,Comic Shop / Game Shop,"800 Brookline Blvd, Pittsburgh, PA 15226",https://geekadrome.com,geekadrome@gmail.com,(412) 343-4335,
Hobby Express,United States,Pittsburgh,Hobby Shop,"1713 Route 228, Cranberry Twp, PA 16066",https://hobbyexpressinc.com,info@hobbyexpressinc.com,(724) 779-2000,
Copacetic Comics,United States,Pittsburgh,Comic Shop,"3138 Dobson St, Pittsburgh, PA 15219",https://copaceticcomics.com,copacetic@copacetic.biz,(412) 252-2939,
King Arthur's Court Toy Store,United States,Cincinnati,Toy Store,"3040 Madison Road, Cincinnati, OH 45209",https://www.kingarthurstoys.com/,info@kingarthurstoys.com,(513) 531-4600,
Free Parking: Bar | Board Games | Bites,United States,Cincinnati,Tabletop Cafe,"6200 Hamilton Ave, Cincinnati, OH 45224",https://freeparkingbar.com/,info@freeparkingbar.com,(513) 541-0300,
Rockin' Rooster Comics & Games,United States,Cincinnati,Comic Shop,"5000 Glenway Ave, Cincinnati, OH 45238",https://rockinroostercomics.com/,rockinroostercomics@gmail.com,(513) 661-7625,
The Bookshelf,United States,Cincinnati,Bookstore,"7754 Camargo Rd., Madeira, OH 45243",https://cincybookshelf.com,cincybookshelf@gmail.com,(513) 271-9140,
Paper Wings,United States,Cincinnati,Gift Shop / Stationery Store,"1203 Vine St., Cincinnati, OH 45202",https://shoppaperwings.com,paperwingsotr@gmail.com,(513) 421-3500,
Fig Leaf,United States,Cincinnati,Gift Shop,"2736 Erie Ave., Cincinnati, OH 45208",https://figleafhydepark.com,beth@figleafhydepark.com,(513) 608-6656,
Design Lab,United States,Cincinnati,Design Shop / Concept Store,"1985 Madison Rd., Cincinnati, OH 45208",https://design-lab.com,info@design-lab.com,(513) 678-1775,
Teso Life,United States,Orlando,Japanese lifestyle store,"7174 W Colonial Dr, Orlando, FL 32818",https://tesolife.com,info@tesolife.com,,
Gold Dust Home,United States,Orlando,Gift shop / Home decor,"1309 Lang Ave, Orlando, FL 32803",https://golddusthome.com,gold.dust.home@gmail.com,(407) 731-2010,
Writer's Block Bookstore,United States,Orlando,Bookstore,"316 N Park Ave, Winter Park, FL 32789",https://writersblockbookstore.com,orders@writersblockbookstore.com,(407) 335-4192,
Spellbound Bookstore,United States,Orlando,Bookstore,"105 N Oak Ave, Sanford, FL 32771",https://spellboundbookstore.net,hello@spellboundbookstore.net,(321) 578-7418,
