name,country,city,type,address,website,email,phone,status
Izakai Bar & Eatery,New Zealand,Tauranga,Japanese restaurant,"195 Maunganui Road, Mount Maunganui 3116, New Zealand",https://izakai.co.nz,kiaora@izakai.co.nz,+64 7 574 8888,
Asian Fusion,New Zealand,Tauranga,Japanese restaurant,"250 Cameron Road, Tauranga 3110, New Zealand",https://asianfusion.co.nz,food@www.asianfusion.co.nz,+64 7 578 1111,
The Little Big Markets,New Zealand,Tauranga,Concept Store,"155 Maunganui Road, Mount Maunganui 3116",https://thelittlebigmarkets.co.nz,chris@thelittlebigmarkets.co.nz,021-022-84886,
Little Trooper,New Zealand,Tauranga,Toy Store,"125 Maunganui Road, Mount Maunganui 3116",https://littletrooper.co.nz,hello@littletrooper.co.nz,07-575-0000,
Pop Culture NZ,New Zealand,Tauranga,Geek Culture Shop,"211 Cameron Road, Tauranga 3110",https://popculture.co.nz,marketing@evolve.co.nz,07-571-1111,
Sushi King,New Zealand,Tauranga,Sushi restaurant,"300 Cameron Road, Tauranga 3110, New Zealand",https://sushiking.co.nz,woodzgood@xtra.co.nz,+64 7 578 5555,
Card Merchant Napier,New Zealand,Napier-Hastings,Trading card shop,"202 Hastings Street, Napier City Centre, Napier 4110, New Zealand",https://cardmerchant.co.nz,info@cardmerchant.co.nz,+64 6 833 6666,
The Fantail House,New Zealand,Napier-Hastings,Gift shop,"116 Tennyson Street, Napier South, Napier 4110",https://thefantailhouse.co.nz,info@thefantailhouse.co.nz,06 835 0011,
Beattie and Forbes Booksellers,New Zealand,Napier-Hastings,Bookstore,"106 Tennyson Street, Napier South, Napier 4110",https://beattieandforbes.co.nz,books@beattieandforbes.co.nz,06 835 7070,
Wardini Books,New Zealand,Napier-Hastings,Bookstore,"16 Te Mata Road, Havelock North 4130",https://wardini.co.nz,books@wardini.co.nz,06 877 7783,
Unity Books,New Zealand,Napier-Hastings,Bookstore,"145 Emerson Street, Napier South, Napier 4110",https://unitybooks.co.nz,wellington@unitybooks.co.nz,06 835 2222,
Napier Antique & Jewellery Centre,New Zealand,Napier-Hastings,Novelty store,"115 Tennyson Street, Napier South, Napier 4110",https://napierantiques.co.nz,info@napierantiques.co.nz,06 835 3333,
