name,country,city,type,address,website,email,phone,status
Stripwinkel Barelli,Netherlands,The Hague,Stripspeciaalzaak,"Zoutmanstraat 80, 2518 GT Den Haag",https://stripwinkelbarelli.nl,info@stripwinkelbarelli.nl,070-3653070,
Stanza Bookshop,Netherlands,The Hague,Bookstore,"Noordeinde 98, 2514 GM Den Haag, Netherlands",https://stanzathehague.com/,info@stanzathehague.com,+31 70 214 4117,
The American Book Center,Netherlands,The Hague,Bookstore,"Lange Poten 23, 2511 CM Den Haag, Netherlands",https://abc.nl/,info@abc.nl,+31 70 364 2742,
The Joker,Netherlands,Utrecht,Spellenspeciaalzaak (Board Game Store),"Oudegracht 230A, 3511 NT Utrecht",https://www.the-joker.nl,info@the-joker.nl,+31 30 233 2158,
Het Lab,Netherlands,Utrecht,Spellenwinkel (Board Game Store),"Oudegracht 207, 3511 NH Utrecht",https://www.lab-monkey.nl,info@lab-monkey.nl,+31 6 12841814,
Stripwinkel Blunder,Netherlands,Utrecht,Stripspeciaalzaak (Comic Book Store),"Oudegracht 203, 3511 NH Utrecht",https://www.stripwinkelblunder.nl,comics@stripwinkelblunder.nl,+31 30 231 1461,
De Utrechtse Kinderboekwinkel,Netherlands,Utrecht,Kinderboekwinkel (Children's Bookstore),"Ganzenmarkt 10, 3512 GD Utrecht",https://www.kinderboekwinkelutrecht.nl,info@kinderboekwinkelutrecht.nl,+31 30 232 2057,
Kinderwinkel Westerkade,Netherlands,Utrecht,Kinderwinkel (Children's Store),"Westerkade 19, 3511 HB Utrecht",https://www.kinderwinkelwesterkade.nl,info@kinderwinkelwesterkade.nl,+31 6 4288 8326,
Little Wannahaves,Netherlands,Utrecht,Kids Conceptstore (Toy & Lifestyle Store),"Zakkendragerssteeg 8, 3511 AA Utrecht",https://www.littlewannahaves.nl,info@littlewannahaves.nl,+31 30 878 9050,
Savannah Bay,Netherlands,Utrecht,Bookstore,"Telingstraat 13, 3512 GV Utrecht, Netherlands",https://www.savannahbay.nl,info@savannahbay.nl,+31 30 231 4410,
Puha Shop,Netherlands,Utrecht,Concept store,"Voorstraat 48, 3512 AR Utrecht, Netherlands",https://www.puhashop.nl,info@puhashop.nl,+31 30 233 4455,
Rood & Bloem,Netherlands,Utrecht,Design shop,"Springweg 12, 3511 VS Utrecht, Netherlands",https://www.roodenbloem.nl,info@roodenbloem.nl,+31 30 231 9900,
GameForce,Netherlands,Eindhoven,Board game and hobby shop,"Geldropseweg 83, 5611 SE Eindhoven, Netherlands",https://www.gameforce.nl,info@gameforce.nl,+31 40 244 70 30,
Joto's Boardgame Cafe,Netherlands,Eindhoven,Tabletop cafe,"Torenallee 22-02, 5617 BD Eindhoven, Netherlands",https://www.jotosboardgamecafe.nl,info@jotosboardgamecafe.com,,
Flash Aviation,Netherlands,Eindhoven,Hobby shop,"Zeelsterstraat 177a, 5652 EG Eindhoven, Netherlands",https://www.flash-aviation.nl,shop@flash-aviation.nl,,
Verspaget Modelbouw,Netherlands,Eindhoven,Hobby shop,"Eindhoven, Netherlands",https://www.verspaget.nl,info@verspaget.nl,+31 40 251 1076,
Purperen Draak,Netherlands,Groningen,Game shop and hobby store,"Groningen, Netherlands",https://www.purperendraak.nl/,info@purperendraak.nl,,
Comic Stripshop,Netherlands,Groningen,Comic shop,"Ulgersmaweg 14, 9731 BS Groningen, Netherlands",https://www.comicstripshop.com/,info@comicstripshop.com,,
Akim Stripwinkel,Netherlands,Groningen,Comic shop,"Ulgersmaweg 14, Groningen, Netherlands",https://www.akim.nl/,info@akim.nl,,
Modelbouw Krikke,Netherlands,Groningen,Hobby shop,"Groningen, Netherlands",https://www.modelbouwkrikke.nl/,ron@krikke.net,,
KOKOTOKO,Netherlands,Groningen,Concept store,"Oosterstraat 26, 9711 NV Groningen",https://kokotoko.nl,happyday@kokotoko.nl,+31 6 25476940,
Salmagundi THE SHOP,Netherlands,Groningen,Concept store,"J.C. Kapteynlaan 6-8, 9714 CP Groningen",https://salmagundigroningen.nl,welkom@salmagundi.nl,+31 6 15244964,
Laif & Nuver,Netherlands,Groningen,Lifestyle and interior shop,"Rode Weeshuisstraat 7, 9712 ET Groningen",https://www.laifennuver.nl,info@laifennuver.nl,+31 50 850 0562,
Boekhandel Godert Walter,Netherlands,Groningen,Bookstore,"Oude Ebbingestraat 53, 9712 HC Groningen",https://www.godertwalter.nl,info@godertwalter.nl,+31 50 312 2523,
Walter's Bookshop,Netherlands,Groningen,Bookstore,"Oude Kijk in 't Jatstraat 10, 9712 EG Groningen",https://www.waltersbookshop.nl,info@godertwalter.nl,+31 50 318 5681,
Batsu,Netherlands,Groningen,Japanese store,"Pottebakkersrijge 4, 9718 AE Groningen",https://www.batsu.nl,info@batsu.nl,+31 6 47320056,
Walhalla,Netherlands,Groningen,Gift shop,"Nieuwe Ebbingestraat 38, 9712 NL Groningen",https://walhalla.in,info@walhalla.in,+31 6 21172065,
J&Z Handmade,Netherlands,Groningen,Design and interior shop,"Folkingestraat 36, 9711 JX Groningen",https://jz-handmade.nl,info@jz-handmade.nl,+31 6 28888842,
Het Beeldverhaal,Netherlands,Almere,Comic and Hobby Shop,"Schutterstraat 16, 1315 VJ Almere, Netherlands",https://www.hetbeeldverhaal.nl,info@hetbeeldverhaal.nl,+31 36 540 2672,
Mercurius Paint,Netherlands,Almere,Hobby and Model Building Supply Store,"Gordingweg 38, 1332 BR Almere, Netherlands",https://www.mercuriuspaint.nl,info@mercuriuspaint.nl,+31 36 841 9641,
Animerch,Netherlands,Almere,Collectible and Game Store,"Schoutstraat 110, 1315 EZ Almere, Netherlands",https://animerch.nl,contact@animerch.nl,Not available,
Dé Spellenwinkel,Netherlands,Breda,Board game store,"Speelhuislaan 68B, 4815 CG Breda, Netherlands",https://www.despellenwinkelbreda.nl/,info@despellenwinkelbreda.nl,+31 6 39663901,
Hesemans,Netherlands,Breda,Toy and hobby shop,"Houtmarkt 7, 4811 KB Breda, Netherlands",https://www.hesemans.nl/,info@hesemans.nl,+31 76 5212310,
De Vrije Boekhandel,Netherlands,Breda,Bookstore,"Veemarktstraat 40, 4811 ZG Breda",https://www.devrijeboekhandel.nl/,info@devrijeboekhandel.nl,076-5145491,
LOYA,Netherlands,Breda,Concept store,"Wilhelminastraat 31, 4818 SB Breda",https://www.loya-breda.nl/,info@loya-breda.nl,06-25328834,
Bloom the Conceptstore,Netherlands,Breda,Concept store,"Wilhelminasingel 1, 4818 AA Breda",https://www.bloomconceptstore.nl/,info@bloomconceptstore.nl,06-18517226,
Señor Hernandez,Netherlands,Nijmegen,Comic Book Store,"In de Betouwstraat 24, 6511 GC Nijmegen",https://www.senorhernandez.com,info@senorhernandez.com,024-3608181,
Gator Film & Game Merchandise,Netherlands,Nijmegen,Collectible Store,"Lange Hezelstraat 67, 6511 CD Nijmegen",https://www.gator.nl,verkoop@gator.nl,024-3600510,
Tante Hannie,Netherlands,Nijmegen,Collectible Store,"Passage Molenpoort 33a, 6511 HS Nijmegen",https://www.tantehannie.com,tantehannie@mediadrome.nl,06-33049119,
Blokkenpiloot,Netherlands,Nijmegen,Toy Store,"Lange Hezelstraat 15, 6511 CA Nijmegen",https://www.blokkenpiloot.nl,info@blokkenpiloot.nl,N/A,
Interhobby,Netherlands,Nijmegen,Hobby Shop,"St. Jacobslaan 13, 6533 BN Nijmegen",https://www.interhobby.nl,info@interhobby.nl,024-3556810,
Boekhandel Roelants,Netherlands,Nijmegen,Bookstore,"Van Broeckhuysenstraat 34, 6511 PJ Nijmegen",https://www.roelants.nl,roelants@roelants.nl,024-3221734,
Fier Conceptstore,Netherlands,Nijmegen,Concept store,"Lange Hezelstraat 4, 6511 CJ Nijmegen",https://www.fierconceptstore.nl,info@fierconceptstore.nl,+31 6 20207832,
Het Theezaakje,Netherlands,Nijmegen,Gift shop / Tea store,"Lange Hezelstraat 56, 6511 CL Nijmegen",https://www.het-theezaakje.nl,info@het-theezaakje.nl,024-7503523,
Wereldwinkel Nijmegen,Netherlands,Nijmegen,Gift shop,"Lange Hezelstraat 19, 6511 CA Nijmegen",https://www.wereldwinkelnijmegen.nl,info@wereldwinkelnijmegen.nl,024-3450196,
