name,country,city,type,address,website,email,phone,status
ARCADES.GR,Greece,Thessaloniki,board game store,"Kanari 35, Thessaloniki 544 53, Greece",http://www.arcades.gr/,info@arcades.gr,693 997 7077,
Big Time,Greece,Thessaloniki,board game store,"Al. Papanastasiou 90, Thessaloniki 546 44, Greece",https://skg.bigtimehub.gr/,info@bigtimehub.gr,231 090 8686,
Clickthemall,Greece,Thessaloniki,board game store,"Filippoupoleos 52, Ampelokipi 561 23, Greece",https://clickthemall.gr/,info@clickthemall.gr,231 074 6749,
SevenSpot(SevenWorld),Greece,Thessaloniki,board game store,"25is Martiou 16, Thessaloniki 546 46, Greece",https://www.sevenworld.gr/,info@sevenworld.gr,231 040 2879,
Papell,Greece,Thessaloniki,board game store,"Grigoriou Lampraki 213, Thessaloniki 543 52, Greece",https://papell.gr/,info@papell.gr,231 307 5174,
Retro Gaming Club - Νο1 κατάστημα σε πωλήσεις μεταχειρισμένων video games στην Ελλάδα!,Greece,Thessaloniki,game shop,"Papantoniou 22-24, Kalamaria 551 34, Greece",https://retro-gaming-club.gr/,info@retro-gaming-club.gr,231 405 1505,
Toys-shop Αριστοτέλους 14,Greece,Thessaloniki,toy store,"Aristotélous 14, Thessaloniki 546 23, Greece",https://www.toys-shop.gr/,info@toys-shop.gr,231 000 5444,
Παιχνίδια Μουστάκας Θεσσαλονίκη-Πυλαία,Greece,Thessaloniki,toy store,"11° ΧΛΜ ΔΗΜΟΣΙΑΣ ΟΔΟΥ ΘΕΣΣΑΛΟΝΙΚΗΣ, Pilea 570 01, Greece",http://www.moustakastoys.gr/,orders@moustakastoys.gr,231 048 9515,
Toys-shop Άνω Τούμπα,Greece,Thessaloniki,toy store,"Grigoriou Lampraki 208, Pilea 555 34, Greece",https://www.toys-shop.gr/,info@toys-shop.gr,231 231 7564,
Cozykids,Greece,Thessaloniki,toy store,"Mitropolitou Iosif 3, Thessaloniki 546 22, Greece",http://www.cozykids.gr/,info@cozykids.gr,231 601 8378,
Toymania,Greece,Thessaloniki,toy store,"Christoforou Perraivou 14, Pilea 543 52, Greece",https://www.toymania.gr/,info@toymania.gr,231 074 8713,
Kesidis Japan Parts,Greece,Thessaloniki,Japanese store,"Promitheos 39, Thessaloniki 546 29, Greece",http://www.kesidis-japanparts.gr/,info@kesidis-japanparts.gr,231 051 4749,
