name,country,city,type,address,website,email,phone,status
Snakes & Lattes College,Canada,Toronto,Tabletop Cafe,"489 College St, Toronto, ON M6G 1A5",https://www.snakesandlattes.com/,john@snakesandlattes.com,(647) 342-9229,
See-Scape,Canada,Toronto,Tabletop Cafe,"347 Keele St, Toronto, ON M6P 2K6",https://seescapeto.com/,seescapetoronto@gmail.com,(647) 853-9892,
Twilight Cafe,Canada,Toronto,Tabletop Cafe,"252 Victoria St, Toronto, ON M5B 1V8",https://www.twilightcafe.ca/,twilightcafe.midtown@gmail.com,(416) 815-2233,
Planet X,Canada,Toronto,Comic Shop,"2227 Queen St E, Toronto, ON M4E 1E8",https://www.eplanetx.net/,contact@eplanetx.net,(416) 698-8950,
Glad Day Bookshop,Canada,Toronto,Bookstore,"598A Yonge St, Toronto, ON M4Y 1Z3",https://gladdaybookshop.org,shop@gladdaybookshop.com,(416) 961-4161,
Another Story Bookshop,Canada,Toronto,Bookstore,"315 Roncesvalles Ave, Toronto, ON M6R 2M6",https://anotherstory.ca,books@anotherstory.ca,(416) 462-1104,
Things Japanese,Canada,Toronto,Japanese Store / Gift Shop,"128 Harbord St, Toronto, ON M5S 1G8",https://thingsjapanese.ca,info@thingsjapanese.ca,(416) 967-9797,
Randolph Pub Ludique Quartier Latin,Canada,Montreal,Tabletop Cafe,"2041 rue Saint-Denis, Montréal, QC H2X 3K8",https://www.randolph.ca/pub-ludique/quartier-latin/,quartierlatin@randolph.ca,514-419-5001,
Boutique Lotus,Canada,Montreal,Spiritual Asian boutique,"459 Rue Saint-Sulpice, Montréal, QC H2Y 2V7",https://boutiquelotus.com,info@boutiquelotus.com,(514) 315-6896,
Y Not Today Board Game and Bingsu Cafe,Canada,Calgary,Tabletop Cafe,"4339 Macleod Trail SW, Calgary, AB",https://ynottoday.ca,info@ynottoday.ca,403-612-6675,
The Sentry Box,Canada,Calgary,Hobby Shop,"1835B 10 Ave SW, Calgary, AB",https://sentrybox.com,orders@sentrybox.com,403-245-2121,
PM Hobbycraft,Canada,Calgary,Hobby Shop,"1701 32 Ave NE, Calgary, AB",https://pmhobbycraft.ca,hello@pmhobbycraft.ca,403-291-2737,
Alpha Comics,Canada,Calgary,Comic Shop,"7005 18 Street SE, Calgary, AB",https://alphacomics.ca,admin@alphacomics.ca,403-453-0187,
Phoenix Comics NW,Canada,Calgary,Comic Shop,"1010 16 Ave NW, Calgary, AB",https://phoenixcomics.ca,phoenixcomics@gmail.com,403-220-1399,
Phoenix Comics SW,Canada,Calgary,Comic Shop,"2523A 17 Ave SW, Calgary, AB",https://phoenixcomics.ca,phoenixcomics@gmail.com,403-246-1706,
Cobra Collectibles,Canada,Winnipeg,Toy Store,"555 Sargent Ave, Winnipeg, MB R3B 1W4, Canada",https://cobracollectibles.com/,info@cobracollectibles.com,204-227-2592,
Galaxy Comics and Collectibles,Canada,Winnipeg,Comic Shop,"1143 Henderson Hwy, Winnipeg, MB R2G 1L5, Canada",https://galaxy-comics.ca/,info@galaxy-comics.ca,204-338-5216,
La Revanche (St-Roch),Canada,Quebec City,Board Game Restaurant / Pub,"585 Boulevard Charest Est, Québec, QC G1K 3J2",https://larevanche.ca/etablissements/st-roch/,st-roch@larevanche.ca,+1 581-890-5861,
La Revanche (Capitale),Canada,Quebec City,Board Game Restaurant / Pub,"5600 Boulevard des Galeries, Local 100, Québec, QC G2K 2H6",https://larevanche.ca/,info@larevanche.ca,+1 581-890-5862,
Hamilton Hobby Specialties,Canada,Hamilton,Hobby Shop,"206 Kenilworth Ave N, Hamilton, ON L8H 4S2",https://hamiltonhobbyspecialties.com,sales@hamiltonhobbyspecialties.com,,
Last Supper Books,Canada,Hamilton,Bookstore,"148 James St N, Hamilton, ON L8R 2K7",https://www.lastsupperbooks.ca/,lastsupperbooks@gmail.com,(365) 384-6750,
The Adventurers Guild Board Game Café & Tavern,Canada,Kitchener,Tabletop Cafe,"36 Ontario St. N, Kitchener, ON N2H 4Y4",https://www.adventurersguildcafe.com/,adventurersguildcafe@gmail.com,(519) 741-1802,
Studiocomix Press Ltd.,Canada,Kitchener,Comic Shop,"385 Frederick St, Unit 12, Kitchener, ON N2H 2P2",https://studiocomix.com/,info@studiocomix.com,(519) 954-3232,
Copper's Hobbies,Canada,Kitchener,Hobby Shop,"935 Frederick Street, Kitchener, ON",https://coppershobbies.com/,coppershobbies@gmail.com,Not available,
