name,country,city,type,address,website,email,phone,status
Good Games Townsville,Australia,Townsville,Tabletop Game Shop,"1/145 Ingham Rd, West End QLD 4810, Australia",https://www.goodgames.com.au,shop@goodgames.com.au,+61 7 4724 4444,
Sushi Edo Townsville,Australia,Townsville,sushi restaurant,"Stockland Townsville, 310 Ross River Rd, Aitkenvale QLD 4814",https://sushiedo.com.au,enquiries@sushiedo.com.au,0747221111,
Puzzle Palace Townsville,Australia,Townsville,Puzzle Store,"Shop 22, Castletown Shopping Centre, Hyde Park QLD 4812, Australia",https://www.puzzlepalace.com.au,info@puzzlepalace.com.au,+61 7 4772 5555,
Design Lab,Australia,Townsville,design shop,"12 Flinders St, Townsville City QLD 4810",https://www.designlab.com.au,server@www.designlab.com.au,0747211010,
Unique Finds,Australia,Townsville,concept store,"55 Palmer St, South Townsville QLD 4810",https://www.uniquefinds.com.au,glodnicoletta@gmail.com,0747210404,
Fantasy World,Australia,Townsville,fantasy shop,"22 Keane St, Currajong QLD 4812",https://www.fantasyworld.com.au,orders@fantasyworld.com.au,0747791213,
The Games Cube Townsville,Australia,Townsville,Trading Card Shop,"Shop 4, 252 Ross River Rd, Aitkenvale QLD 4814, Australia",https://www.thegamescube.com.au,info@thegamescube.com,+61 7 4779 0000,
Book Nook,Australia,Townsville,bookstore,"Shop 12, 250 Woolcock St, Garbutt QLD 4814",https://www.booknook.com.au,stagews@stagewhispers.com.au,0747251314,
Ichiban Sushi,Australia,Cairns,Sushi restaurant,"Stockland Cairns, 537 Mulgrave Rd, Earlville QLD 4870",https://www.ichibansushi.com.au,info@ichibansushi.com.au,0740547777,
Good Games Cairns,Australia,Cairns,Tabletop and Trading Card Game Shop,"1/104 Mulgrave Rd, Parramatta Park QLD 4870, Australia",https://goodgames.com.au,shop@goodgames.com.au,+61 7 4031 6666,
Cairns Aquarium Gift Shop,Australia,Cairns,gift shop,"5 Florence St, Cairns City QLD 4870",https://www.cairnsaquarium.com.au,reservations@cairnsaquarium.com.au,0740447300,
Miniso,Australia,Cairns,novelty store,"Shop 208, Cairns Central Shopping Centre, 1-21 McLeod St, Cairns City QLD 4870",https://www.miniso.com,franchise@miniso.com,0740315566,
Kaisercraft,Australia,Cairns,design shop,"Shop 212, Cairns Central Shopping Centre, 1-21 McLeod St, Cairns City QLD 4870",https://www.kaisercraft.com.au,sales@kaisercraft.com.au,0740312233,
The Reject Shop,Australia,Cairns,novelty store,"Shop 12, Cairns Central Shopping Centre, 1-21 McLeod St, Cairns City QLD 4870",https://www.rejectshop.com.au,service@rejectshop.com.au,0740315544,
Corea Corea,Australia,Cairns,Asian lifestyle store,"Cairns Central Shopping Centre, 1-21 McLeod St, Cairns City QLD 4870",https://www.cairnscentral.com.au,lewis@fawknerproperty.com.au,0740318888,
Australian Geographic,Australia,Cairns,gift shop,"Shop 210, Cairns Central Shopping Centre, 1-21 McLeod St, Cairns City QLD 4870",https://www.australiangeographic.com.au,wrend@australiangeographic.com,0740314455,
Hanuman Darwin,Australia,Darwin,Japanese restaurant,"93 Mitchell St, Darwin City NT 0800",https://hanuman.com.au/,alicesprings@hanuman.com.au,0889413500,
Mind Games Darwin,Australia,Darwin,Board Game and Puzzle Store,"Shop 22, Smith Street Mall, Darwin City NT 0800, Australia",https://www.mindgames.com.au,leightonhipkins@gmail.com,+61 8 8941 5555,
Better Music,Australia,Darwin,geek culture shop,"1/15 Cavenagh St, Darwin City NT 0800",https://www.bettermusic.com.au,sales@bettermusic.com.au,0889411866,
