name,country,city,type,address,website,email,phone,status
Trønderfrim Frimerker og Hobby,Norway,Trondheim,Hobby and model shop,"St. Olavs gate 11, 7012 Trondheim, Norway",https://www.tronderfrim.no/,post@tronderfrim.no,+47 73 52 08 40,
Wangsmo Antikvariat AS,Norway,Trondheim,Antiquarian bookstore (comics and books),"Vår Frue Strete 1, 7013 Trondheim, Norway",https://www.wangsmo.com/,wangsmo@wangsmo.com,+47 73 52 44 55,
Jotunheimen E-sport,Norway,Trondheim,Gaming center and social bar,"Kjøpmannsgata 63, 7010 Trondheim, Norway",https://www.jotunheimenesport.no/,post@jotunheimenesport.no,+47 48 48 16 45,
Bloom Concept Store,Norway,Stavanger,Concept store,"Pedersgata 44, 4013 Stavanger, Norway",https://webloom.no,hello@webloom.no,Not available,
Bøker og Børst,Norway,Stavanger,Bookstore,"Øvre Holmegate 32, 4006 Stavanger, Norway",https://bokerogborst.no,bokerogborst@gmail.com,+47 51 86 04 76,
Smart Kids Store,Poland,Warsaw,Toy Store,"ul. Żelazna 51/53 (Fabryka Norblina), 00-841 Warszawa",https://smartkidsstore.pl,skleponline@smartkidsplanet.pl,+48 455 409 382,
Komikslandia,Poland,Warsaw,Comic & Manga Store,"Metro Centrum Pawilon 2001A, 00-110 Warszawa",https://komikslandia.pl,mailto:info@komikslandia.pl,+48 22 654 10 66,
ATOM Comics,Poland,Kraków,Comic book and hobby store,"ul. Lubicz 3/5, 31-034 Kraków",https://atomcomics.pl,sklep@atomcomics.pl,+48 795 441 424,
Boardowa,Poland,Kraków,Board game cafe,"ul. Topolowa 52/2, 31-506 Kraków",https://boardowa.pl,kontakt@boardowa.pl,+48 579 823 729,
Game Over,Poland,Kraków,Video game and hobby store,"ul. Zamenhofa 8, 31-026 Kraków",https://krakow.gameover.pl,krakow@gameover.pl,+48 507 194 536,
Komiksiarnia.pl,Poland,Kraków,Comic book and hobby store,"ul. Radziwiłłowska 26, Kraków",https://komiksiarnia.pl,zamowienia@komiksiarnia.pl,Not specified,
Lokator,Poland,Kraków,Bookstore and cafe,"ul. Mostowa 1, 31-061 Kraków",https://lokator.krakow.pl,ruczaj@lokator.krakow.pl,,
Księgarnia Austeria,Poland,Kraków,Bookstore,"ul. Szeroka 6, 31-053 Kraków",https://austeria.pl,austeria@austeria.pl,,
De Revolutionibus Books & Cafe,Poland,Kraków,Bookstore,"Rynek Podgórski 8, 30-518 Kraków",https://derevolutionibus.pl,ksiegarnia@derevolutionibus.pl,,
Komiksiarnia,Poland,Kraków,Bookstore and Japanese gadget shop,"ul. Batorego 2, 31-135 Kraków",https://komiksiarnia.pl,zamowienia@komiksiarnia.pl,,
Marka,Poland,Kraków,Concept store,"ul. Józefa 11, 31-056 Kraków",https://marka.krakow.pl,marka@marka.krakow.pl,,
Rzeczy Same,Poland,Kraków,Design shop,"ul. Józefa 11, 31-056 Kraków",https://rzeczysame.pl,info@rzeczysame.pl,,
Drim,Poland,Łódź,Sklep modelarski,"ul. Powstańców Wielkopolskich 2, 91-043 Łódź",https://drim.pl,drim@drim.pl,42 616 54 64,
Mangowe Wrocław,Poland,Wrocław,Comic book store,"Trzebnicka 24, 50-246 Wrocław",https://mangowe.pl,kontakt@mangowe.pl,Not available,
Big Cards Hobby Store,Poland,Wrocław,Hobby and trading card store,"Ks. Piotra Skargi 22/4, 50-082 Wrocław",https://bigcards.pl,support@bigcards.eu,+48 734 430 802,
Kraina Zabawek,Poland,Wrocław,Toy and stationery store,"Stanisława Worcella 6, 50-448 Wrocław",https://krainazabawek24.pl,biuro@krainazabawek24.pl,+48 71 343 65 08,
BRONSON Concept Store,Poland,Wrocław,Concept Store,"Wita Stwosza 38, 50-901 Wrocław",https://bronsonhome.pl,biuro@bronsonhome.pl,+48 694 000 610,
Inuki,Poland,Poznań,Sklep z mangą i anime,"ul. Krakowska 1, 61-889 Poznań",https://inuki.pl,kontakt@inuki.pl,brak danych,
Azyl Komiksu,Poland,Poznań,Sklep z komiksami,"ul. Orląt 10, 61-348 Poznań",https://azylkomiksu.pl,kontakt@azylkomiksu.pl,797 448 446,
Plan-Sza,Poland,Poznań,"Sklep z grami (karciane, figurkowe, planszowe)","ul. Strzelecka 48A, 61-846 Poznań",https://plan-sza.pl,kontakt@plan-sza.pl,537 411 113,
Hobbylandia,Poland,Poznań,Sklep modelarski i z rękodziełem,"ul. Śniadeckich 1, 60-773 Poznań",https://hobbylandia.pl,hobbylandia.poznan@gmail.com,788 522 236,
Manustore / Manu kids&co,Poland,Poznań,Sklep z zabawkami,"ul. Szwedzka 6a, 61-285 Poznań (Centrum Franowo)",https://manustore.pl,hello@manustore.pl,601 060 979,
Bookowski (Centrum Kultury Zamek),Poland,Poznań,Bookstore,"ul. Św. Marcin 80/82, 61-809 Poznań",https://www.bookowski.pl,czesc@bookowski.pl,+48 535 154 252,
Bookowski (Dom Książki),Poland,Poznań,Bookstore,"ul. Gwarna 13A, 61-702 Poznań",https://www.bookowski.pl,czesc@bookowski.pl,+48 536 729 550,
Moaai Design Shop,Poland,Poznań,Design Shop,"ul. Bóżnicza 1 lok. 203, 61-751 Poznań",https://www.moaai.com,sklep@moaai.com,+48 608 008 995,
SideQuest,Poland,Gdańsk,Game Store/Gaming Venue,"ul. Partyzantów 13 B/2, 80-254 Gdańsk",https://www.sidequest.pl,info@sidequest.pl,+48 579 756 200,
Smoki i Lochy,Poland,Gdańsk,Board Game Pub,"ul. Kilińskiego 21, 80-452 Gdańsk",https://lochy.pub,smoki.i.lochy@gmail.com,+48 662 000 131,
ALEplanszówki.pl - Manhattan,Poland,Gdańsk,Board Game Store,"ul. Grunwaldzka 82, 80-244 Gdańsk",https://aleplanszowki.pl,info@aleplanszowki.pl,+48 725 949 303,
ALEplanszówki.pl - Metropolia,Poland,Gdańsk,Board Game Store,"ul. Kilińskiego 4, 80-452 Gdańsk",https://aleplanszowki.pl,info@aleplanszowki.pl,+48 571 845 239,
KROLM,Poland,Gdańsk,Board Game/Hobby Store,"Stary Rynek Oliwski 7, 80-326 Gdańsk",https://krolm.pl,sklep@krolm.pl,+48 698 124 175,
Księgarnia Muza,Poland,Gdańsk,Bookstore,"ul. Garncarska 33, 80-894 Gdańsk",https://ksiegarniamuza.pl,sklep@ksiegarniamuza.pl,+48 58 301 12 09,
