name,country,city,type,address,website,email,phone,status
Sempre Concept Store,Italy,Verona,Concept Store,"Vicolo Cieco Agnello, 1b, 37121 Verona VR, Italy",https://sempreconceptstore.com,ciao@sempreconceptstore.com,,
Star Shop My World Padova,Italy,Padua,Comic and Hobby Shop,"Piazza Duomo, 35122 Padova PD",https://starshopdistribuzione.com,info@starshop.it,,
Fantasia Store Padova,Italy,Padua,Board Game and Hobby Shop,"Via Antonio Rossi, 32, 35030 Padova PD",https://fantasiastore.it,servizioclienti@fantasiastore.it,,
Bimbostore,Italy,Trieste,Negozio di articoli per l'infanzia e giocattoli,"C/C Montedoro Free Time, Via Flavia di Stramare, 34015 Muggia (TS)",https://www.bimbostore.com,bs.mestre@bimbostore.com,+39 040 0642628,
Gamemania,Italy,Trieste,Negozio di videogiochi e pop culture,"Piazza dell'Ospitale, 6E, 34129 Trieste (TS)",https://www.gamemaniatrieste.com,gamemaniats@gmail.com,+39 379 161 6913,
Domino Jouets,Luxembourg,Luxembourg City,Toy store,"6 Rue Louvigny, L-1946 Luxembourg",https://www.domino.lu,contact@domino.lu,+352 46 68 81,
JBF Toys and Trains,Luxembourg,Luxembourg City,Toy and hobby shop,Luxembourg City,https://jbftoysandtrains.com,contact@jbftoysandtrains.com,null,
Erny Ernster,Luxembourg,Luxembourg City,Toy and book store,"4 Rue de la Reine, L-2418 Luxembourg",https://www.ernster.com,order@ernster.com,+352 22 50 77 280,
Eduline,Malta,Birkirkara,Stationery / Bookstore,"139, Ganu Street, Birkirkara, Malta",https://edulinemalta.com,info@edulinemalta.com,+356 2148 2957,
Sukha,Netherlands,Amsterdam,Concept store,"Haarlemmerstraat 110-H, 1013 EW Amsterdam",https://www.sukha.nl,shop@sukha.nl,+31 20 330 4001,
The American Book Center,Netherlands,Amsterdam,Bookstore,"Spui 12, 1012 XA Amsterdam",https://abc.nl,info@abc.nl,+31 20 625 5537,
Time & Style,Netherlands,Amsterdam,Japanese store,"Marnixstraat 148, 1016 TE Amsterdam",https://www.timeandstyle.com,milan@timeandstyle.com,+31 20 210 3176,
Nishi Market,Netherlands,Rotterdam,Japanese store,"Meent 7-9, 3011 JA Rotterdam",https://nishimarket.com,hai@nishimarket.com,,
