name,country,city,type,address,website,email,phone,status
Board with Friends Cafe,Canada,Victoria,Tabletop Cafe,"705 Johnson St, Victoria, BC V8W 1M8",https://www.boardwithfriends.ca,info@boardwithfriends.ca,250-590-6330,
Gauntlet Games,Canada,Victoria,Hobby Shop,"103-1633 Hillside Ave, Victoria, BC V8T 2C4",https://www.gauntletgamesvictoria.ca,sales@gauntletgamesvictoria.ca,778-265-5556,
BC Hobbies,Canada,Victoria,Hobby Shop,"1644 Hillside Ave, Victoria, BC V8T 2C5",https://bchobbies.com,info@bchobbies.com,250-383-0051,
Fujiya Japanese Foods,Canada,Victoria,Japanese Store,"3624 Shelbourne St, Victoria, BC V8P 4H2",https://fujiya.ca,info@fujiya.ca,250-598-3711,
Russell Books,Canada,Victoria,Bookstore,"747 Fort St, Victoria, BC V8W 1E9",https://russellbooks.com,info@russellbooks.com,250-381-1435,
Japanese Village,Canada,Victoria,Japanese Restaurant,"734 Broughton St, Victoria, BC V8W 1E1",https://japanesevillage.bc.ca,info@japanesevillage.bc.ca,250-382-5165,
Strange Adventures Comics & Curiosities,Canada,Halifax,Comic Shop / Hobby Shop,"5110 Prince St, Halifax, NS B3J 1L3",http://www.strangeadventures.com/,shop@strangeadventures.com,902-425-2140,
Agricola Street Books,Canada,Halifax,Bookstore,"2684 Agricola St, Halifax, NS B3K 4C6",https://agricolastreetbooks.com,info@agricolastreetbooks.com,,
Made in the Maritimes Artisan Boutique,Canada,Halifax,Gift Shop / Design Shop,"5527 Young St, Halifax, NS B3K 1Z7",https://madeinthemaritimes.com,hello@madeinthemaritimes.com,,
Niko Sushi,Canada,Windsor,Japanese Restaurant,"Windsor/Tecumseh, ON",https://nikosushi.ca,info@nikosushi.ca,,
K-Market,Canada,Saskatoon,Asian Grocery Store,"14-705 Central Ave, Saskatoon, SK S7N 3A4",https://saskatoonjapaneseassociation.ca/,contact@saskatoonjapaneseassociation.ca,306-955-3826,
Market of Asia,Canada,Saskatoon,Asian Grocery Store,"2513 Dawes Ave, Saskatoon, SK S7M 5S9",https://saskatoonjapaneseassociation.ca/,contact@saskatoonjapaneseassociation.ca,306-931-1688,
LIV Restaurant & Lounge,Canada,St. John's,Asian Fusion Restaurant,"310 Water St, St. John's, NL A1C 1B8",https://livrestaurant.ca,info@livrestaurant.ca,N/A,
Boardwalk Cafe and Games,Canada,Abbotsford,Tabletop Cafe,"33760 Essendene Avenue, Abbotsford, BC V2S 2H2",https://www.abbyboardwalk.com,info@abbyboardwalk.com,778-666-5006,
The Book Man,Canada,Abbotsford,Bookstore,"#5-2630 Bourquin Crescent West, Abbotsford, BC V2S 5N7",https://www.bookman.ca,info@bookman.ca,604-853-7323,
OMG Games and Collectibles,Canada,Barrie,Hobby Shop / Game Store,"130 Bell Farm Rd, Unit 10, Barrie, ON L4M 6J4, Canada",https://www.omggames.ca/,info@omggames.ca,(705) 721-4263,
The Round Table,Canada,Guelph,Board Game Café,"32 Wyndham St N, Guelph, ON N1H 4E6, Canada",https://roundtablekingdom.ca/,info@roundtabletavern.com,519-265-6565,
Co-op Bookstore,Canada,Guelph,Bookstore,"Johnston Hall, University of Guelph, Guelph, ON N1G 2W1, Canada",https://bookstore.coop/,books@bookstore.coop,519-821-2050,
