name,country,city,type,address,website,email,phone,status
Three for One Trading,Austria,Vienna,board game store,"Neulerchenfelder Str. 76, 1160 Wien, Austria",https://www.threeforonetrading.com/,office@threeforonetrading.com,01 8905154,contacted
VideoGameStore,Austria,Vienna,board game store,"Landstraßer Hauptstraße 112, 1030 Wien, Austria",https://videogamestorewien.at/,videogamestorelandstrasse@gmail.com,0650 8891054,contacted
Play Hero,Austria,Vienna,board game store,"Rennweg 95, 1030 Wien, Austria",https://www.playhero.at/,playhero@gmx.at,0681 20704700,contacted
Thalia Wien - Mitte / W3,Austria,Vienna,board game store,"Landstraßer Hauptstraße 2a/2b, 1030 Wien, Austria",https://www.thalia.at/buchhandlung/6411?utm_source=google&utm_medium=gmb&utm_campaign=website&utm_content=wien,info@thalia.at,0732 761567522,contacted
Magic Corner,Austria,Vienna,board game store,"Newaldgasse 3/1, 1090 Wien, Austria",http://www.magiccorner.at/,office@magiccorner.at,01 2765632,contacted
Gametime,Austria,Vienna,game shop,"Schüttaustraße 20-40, 1220 Wien, Austria",https://gametime161.webnode.at/,gametime-1220@hotmail.com,0664 5899227,contacted
Computer und Gaming Museum Wien,Austria,Vienna,game shop,"Fritz-Grünbaum-Platz 1, 1060 Wien, Austria",http://www.gamingmuseum.at/,info@gamingmuseum.at,01 5954593,contacted
Open World - eSport Eatery & Bar,Austria,Vienna,game shop,"U Bahn Bogen 185, 1190 Wien, Austria",http://www.openworld.at/,welcome@openworld.at,0660 8851788,contacted
Kindergalerie Sonnenschein,Austria,Vienna,toy store,"Neubaugasse 53/G, 1070 Wien, Austria",http://www.kindergalerie-sonnenschein.com/,info@kindergalerie-sonnenschein.com,0699 18104828,contacted
Rumpelstilzchen,Austria,Vienna,toy store,"Lange G. 72, 1080 Wien, Austria",https://www.rumpelstilzchen-wien.com/,f.falk@gmx.at,01 4063569,contacted
Nippon-Ya 日本屋 | Japanmarkt,Austria,Vienna,Japanese store,"Faulmanngasse 5, 1040 Wien, Austria",http://www.nipponya.at/,office@nippon-ya.at,01 5861084,contacted
Planet-Japan,Austria,Vienna,Japanese store,"Ausstellungsstraße 47, 1020 Wien, Austria",http://www.planet-japan.at/,shop@planet-japan.at,01 9081516,contacted
NAKWON Rotensterngasse,Austria,Vienna,Japanese store,"Rotensterngasse 31, 1020 Wien, Austria",http://www.nakwon.at/,office@nakwon.at,01 9460415,contacted
Nakwon Supermarket,Austria,Vienna,Japanese store,"Zieglergasse 12, 1070 Wien, Austria",http://www.nakwon.at/,office@nakwon.at,,contacted
MAYUDA,Austria,Vienna,Japanese store,"Johannitergasse 7, 1100 Wien, Austria",http://mayuda.at/,office@mayuda.at,01 9346202,contacted
HobbyBoxxs,Austria,Vienna,hobby shop,"Mariahilfer Str. 203, 1150 Wien, Austria",http://www.hobbyboxxs.eu/,hobbyboxxs@gmail.com,0660 2023623,contacted
Modellbau Paul Vienna,Austria,Vienna,hobby shop,"Kalvarienberggasse 58, 1170 Wien, Austria",http://www.modellbau-paul.at/,office@modellbau-paul.at,01 4029859,contacted
modell-hubschrauber.at | Modellbau Shop,Austria,Vienna,hobby shop,"Schönbrunner Str. 254, 1120 Wien, Austria",http://www.modell-hubschrauber.at/,office@modellbauwelt.at,01 8101464,contacted
Archidelis Modellbaumaterial - Liedl & Gronemann GmbH,Austria,Vienna,hobby shop,"Paniglgasse 18-20, 1040 Wien, Austria",http://www.archidelis.at/,order@archidelis.at,01 5044242,contacted
CAMO Modellfahrzeuge,Austria,Vienna,hobby shop,"Karlsgasse 3, 1040 Wien, Austria",http://www.camo-modellfahrzeuge.at/,info@camo-modellfahrzeuge.at,01 5032764,contacted
Elbenwald,Austria,Vienna,hobby shop,"Wagramer Str. 81/2/3, 1220 Wien, Austria",https://www.elbenwald.de/elbenwald-store-wien,e-mailinfo@elbenwald.de,01 3961062,contacted
GK Modellbau + Kopierservice G Kirchert,Austria,Vienna,hobby shop,"Linzer Str. 65, 1140 Wien, Austria",https://www.kirchert.at/shop/,office@kirchert.com,01 9824463,contacted
Gerstäcker Wien,Austria,Vienna,hobby shop,"Margaretenstraße 113, 1050 Wien, Austria",https://www.gerstaecker.at/wien,info@gerstaecker.attelefon,050 22431,
Ingrid's Second Hand,Austria,Vienna,hobby shop,"Zieglergasse 33, 1070 Wien, Austria",http://www.ingrids-second-hand.com/,ingrid.sh@aon.at,01 5262629,contacted
Modellbahndiskont -Wien,Austria,Vienna,hobby shop,"Novaragasse 47, 1020 Wien, Austria",http://www.modellbahndiskont.com/,info@modellbahndiskont.com,0676 7773570,contacted
Otaku Heaven,Austria,Vienna,hobby shop,"Schelleingasse 1, 1040 Wien, Austria",https://www.otakuheaven.at/,office@otakuheaven.at,01 2796492,contacted
Spielwaren Heinz,Austria,Vienna,hobby shop,"Mariahilfer Str. 42, 1070 Wien, Austria",https://www.spielwarenheinz.at/,office@spielwarenheinz.at,01 8905756,contacted
THE WORLD TO GO VIENNA,Austria,Vienna,gift shop,"Josefsplatz 6/1, 1010 Wien, Austria",https://theworldtogo.com/,emailshop@theworldtogo.com,01 9904487,contacted
O&O Vienna Souvenirs/Gift Shop,Austria,Vienna,gift shop,"Parkring 12a/14b, 1010 Wien, Austria",http://www.ovienna.at/,office@ovienna.at,0676 4676477,contacted
The Vienna Gallery Store,Austria,Vienna,gift shop,"Rennweg 11, 1030 Wien, Austria",http://www.souvenirarts.at/,office@souvenirarts.at,0650 6778285,contacted
Souvenirarts,Austria,Vienna,gift shop,"Fleischmarkt 16, 1010 Wien, Austria",https://www.souvenirarts.at/,office@souvenirarts.at,0650 6778285,contacted
Sisi&More,Austria,Vienna,gift shop,"Kegelgasse 42, 1030 Wien, Austria",https://www.sisiandmore.com/,info@sisiandmore.com,0676 9432151,contacted
Nikisha - The Concept Store,Austria,Vienna,concept store,"Kärntner Ring 5/7, 1010 Wien, Austria",https://www.nikisha.at/,shop@nikisha.at,0650 7073730,contacted
Store & Stories | Concept Store,Austria,Vienna,concept store,"Währinger Str. 153, 1180 Wien, Austria",http://www.storeandstories.at/,info@storeandstories.at,0677 62090793,contacted
Maisonette Concept Store,Austria,Vienna,concept store,"Neubaugasse 81, 1070 Wien, Austria",http://www.maisonette.shop/,infossupport@maisonette.shop,0680 1546743,contacted
Shanta Concept Store,Austria,Vienna,concept store,"Plankengasse 7, 1010 Wien, Austria",https://www.shantavienna.at/,shantavienna@gmail.com,0660 1577730,contacted
UNIKATESSEN CONCEPT STORE,Austria,Vienna,concept store,"Margaretenstraße 45, 1040 Wien, Austria",https://www.unikatessen.at/,office@unikatessen.at,01 9430996,contacted
HAMTIL & SÖHNE Concept Store Vienna,Austria,Vienna,concept store,"Herrengasse 2, 1010 Wien, Austria",http://www.hamtil.at/,sibylle@hamtil.at,01 5321803,contacted
O´STYLE Concept Store,Austria,Vienna,concept store,"Singerstraße 11, 1010 Wien, Austria",https://ostyle-living.at/,shop@ostyle-living.at,01 4301621,contacted
glore Vienna,Austria,Vienna,concept store,"Burggasse 52-54, 1070 Wien, Austria",https://www.glorestore.at/,hello@glorestore.at,01 8900573,contacted
