name,country,city,type,address,website,email,phone,status
Alpaca Chinchona,Spain,Vigo,Tienda de juegos de mesa y cartas,"Rúa Jose Antela Conde, 19 Bajo, 36205 Vigo",https://alpacachinchona.com/,contacto@alpacachinchona.com,624 489 588,
Customeeple,Spain,Vigo,Tienda de juegos de mesa y accesorios,"Rúa do Conde de Torrecedeira, 64 Bajo, 36202 Vigo",https://customeeple.com/,hello@customeeple.com,986 13 87 02,
Faro Cómics,Spain,Vigo,Librería especializada en cómics y manga,"Avenida das Camelias, 70 Bajo, 36211 Vigo",https://farocomics.com/,info@farocomics.com,986 22 51 65,
Eurohobbies,Spain,Vigo,Tienda de modelismo y juguetes,"Avenida de Fragoso, 26 Bajo, 36210 Vigo",https://eurohobbies.es/,info@eurohobbies.es,986 29 65 90,
A Pita Cega,Spain,Vigo,Juguetería y librería infantil,"Rúa Jenaro de la Fuente, 18 Bajo, 36205 Vigo",https://apitacega.es/,info@apitacega.es,986 19 22 90,
Capua Hobby's,Spain,Gijón,"Tienda de juegos de mesa, modelismo y hobbies","Calle Marqués de Casa Valdés, 55, 33202 Gijón, Asturias",https://www.capuahobbys.es,info@capuahobbys.es,985339589,
Ravnica Games,Spain,Gijón,Tienda de juegos de cartas coleccionables y wargames,"Avenida de Portugal, 21, 33207 Gijón, Asturias",https://gobboravnica.es,contacto@gobboravnica.es,984197008,
Maxiracing,Spain,Gijón,Tienda de modelismo,"Calle Pintor Mariano Moré, 16, 33206 Gijón, Asturias",https://maxiracing.com,maxiracing@maxiracing.com,985325146,
Endorshop,Spain,Gijón,Tienda de coleccionismo y cultura pop,"Calle Pérez de Ayala, 42, 33208 Gijón, Asturias",https://endorshop.es,info@endorshop.es,984284620,
Genunine Concept Store,Spain,Gijón,Concept Store,"Calle Begoña, 44, 33201 Gijón, Asturias, España",https://genunine.com,info@genunine.com,984 99 64 63,
La Habitación Propia,Spain,Gijón,Café-Librería,"Calle Celestino Junquera, 1, 33202 Gijón, Asturias, España",https://lahabitacionpropia.es,info@lahabitacionpropia.es,984 83 84 46,
Hedengrens Bokhandel,Sweden,Stockholm,Bookstore,"Grev Turegatan 13A, 114 46 Stockholm",https://hedengrens.se,utland@hedengrens.se,+46 8 611 51 32,
The English Bookshop,Sweden,Stockholm,Bookstore,"Södermannagatan 22, 116 23 Stockholm",https://bookshop.se,stockholm@bookshop.se,+46 8 790 55 10,
Science Fiction Bokhandeln,Sweden,Stockholm,Bookstore,"Västerlånggatan 48, 111 29 Stockholm",https://www.sfbok.se,support@sfbok.se,+46 8 21 50 52,
Syster Lycklig,Sweden,Stockholm,Gift shop,"Tegnérgatan 12, 113 58 Stockholm",https://systerlycklig.se,info@systerlycklig.se,+46 8 30 00 00,
Papercut,Sweden,Stockholm,Bookstore,"Krukmakargatan 24, 118 51 Stockholm",https://papercutshop.se,info@papercutshop.se,+46 8 640 00 00,
Science Fiction Bokhandeln,Sweden,Gothenburg,Bookstore,"Kungsgatan 19, 411 19 Göteborg, Sweden",https://www.sfbok.se/,support@sfbok.se,+46 31 13 06 70,
The English Bookshop,Sweden,Gothenburg,Bookstore,"Kungsgatan 23A, 411 19 Göteborg, Sweden",https://bookshop.se/,stockholm@bookshop.se,+46 31 45 55 10,
Science Fiction Bokhandeln,Sweden,Malmö,Specialty bookstore,"Södra Förstadsgatan 26, 211 43 Malmö, Sweden",https://www.sfbok.se/,support@sfbok.se,+46 40 23 05 20,
Seriezonen,Sweden,Uppsala,Seriebutik,"Drottninggatan 8, 753 10 Uppsala",http://www.seriezonen.nu,info@seriezonen.nu,+46 18 13 43 20,
The English Bookshop,Sweden,Uppsala,Bookstore,"Svartbäcksgatan 19, 753 32 Uppsala",https://bookshop.se,stockholm@bookshop.se,018-10 05 10,
Lilla Japan,Sweden,Uppsala,Japanese Store / Gift Shop,"Fyristorg 4, 753 10 Uppsala",https://lillajapan.se,info@lillajapan.se,+46 18 13 13 81,
Spielkiste Bern,Switzerland,Bern,Spielwarengeschäft,"Schwanengasse 10, 3011 Bern",https://www.spielkiste.ch,info@spielkiste.ch,+41 31 311 36 90,
Replika Modellbau,Switzerland,Bern,Modellbaugeschäft,"Bottigenstrasse 25, 3018 Bern",https://www.replikamodellbau.ch,info@replikamodellbau.ch,+41 77 478 51 10,
HANDMADE,Switzerland,Basel,Japanese Lifestyle Store,"Spalenberg 38, 4051 Basel, Switzerland",https://h-made.ch,mail@h-made.ch,+41 61 261 31 61,
hōmu - Japanisch Wohnen,Switzerland,Basel,Japanese Lifestyle Store,"Gerbergässlein 10 + 12, 4051 Basel, Switzerland",https://homu.ch,info@homu.ch,+41 61 261 55 97,
