name,country,city,type,address,website,email,phone,status
Child's Play Toys & Books,United States,Washington DC,Toy Store,"5536 Connecticut Ave NW, Washington, DC 20015",https://childsplaytoysandbooks.com/,admin@childsplaytoysandbooks.com,(202) 244-3602,
Tugooh Toys,United States,Washington DC,Toy Store,"1440 Wisconsin Ave NW, Washington, DC 20007",https://tugoohtoy.com/,tugoohtoys@gmail.com,(202) 338-9476,
Three Littles,United States,Washington DC,Toy Store,"1325 5th St NE, Suite G1, Washington, DC 20002",https://threelittles.co/,hello@threelittles.co,(202) 733-7115,
Fair Day's Play,United States,Washington DC,Toy & Game Store,"7050 Carroll Ave, Suite 102, Takoma Park, MD 20912",https://fairdaysplay.com/,fairdaysplay@gmail.com,(301) 270-4999,
Capitol Hill Books,United States,Washington DC,Bookstore,"657 C St SE, Washington, DC 20003",https://www.capitolhillbooks-dc.com/,info@capitolhillbooks-dc.com,(202) 544-1621,
Politics and Prose Bookstore,United States,Washington DC,Bookstore,"5015 Connecticut Ave NW, Washington, DC 20008",https://www.politics-prose.com/,books@politics-prose.com,(202) 364-1919,
Politics and Prose at The Wharf,United States,Washington DC,Bookstore,"610 Water St SW, Washington, DC 20024",https://www.politics-prose.com/,books@politics-prose.com,(202) 488-3867,
The Lantern Bookshop,United States,Washington DC,Bookstore,"3241 P St NW, Washington, DC 20007",https://www.lanternbookshop.org/,info@lanternbookshop.org,(202) 333-3222,
Hana Market,United States,Washington DC,Japanese Store,"2000 17th St NW, Washington, DC 20009",https://jaswdc.org/hana-market/,info@jaswdc.org,(202) 939-8854,
Knight & Day Games,United States,Las Vegas,Board Game Store,"6521 S Las Vegas Blvd, Ste C-105, Las Vegas, NV 89119",https://knightanddaygames.com,support@knightanddaygames.com,(702) 639-7835,
Shall We Play? The Games and More Store,United States,Las Vegas,Tabletop Game Store,"750 Dorrell Ln, Ste 150, North Las Vegas, NV 89086",https://shallweplaygames.com,wanttoplay@shallweplaygames.com,(702) 721-7974,
Brad's Toys & Collectibles (Main Store),United States,Las Vegas,Toy Store,"525 E Windmill Ln, Las Vegas, NV 89123",https://www.bradstoys.com,customerservice@bradstoys.com,(702) 856-0429,
The Zone Comic Shop,United States,Louisville,Comic Shop / Toy Store,"285 North Hubbards Lane Suite 200, Louisville, KY 40207",https://zonecomicsandtoys.com,zone@zonecomicsandtoys.com,Not available,
The Great Escape,United States,Louisville,Comic Shop / Hobby Shop,"2433 Bardstown Rd, Louisville, KY 40205",https://thegreatescapeonline.com,contactus@thegreatescapeonline.com,Not available,
Carmichael's Bookstore,United States,Louisville,Bookstore,"1295 Bardstown Rd, Louisville, KY 40204",https://www.carmichaelsbookstore.com,info@carmichaelsbookstore.com,(502) 456-6950,
Just Creations,United States,Louisville,Gift Shop,"2722 Frankfort Ave, Louisville, KY 40206",https://www.justcreations.org,info@justcreations.org,(502) 897-7311,
Board to Beers,United States,Memphis,Tabletop Cafe,"3482 Plaza Ave, Memphis, TN 38111",https://board2beers.com,boardtobeers@gmail.com,N/A,
Unplugged Tabletop,United States,Memphis,Hobby Shop,"942 W Poplar Ave, Collierville, TN 38017",https://unpluggedtabletop.com,contact@unpluggedtabletop.com,(901) 286-4015,
Burke's Book Store,United States,Memphis,Bookstore,"936 S. Cooper St., Memphis, TN 38104",https://www.burkesbooks.com,info@burkesbooks.com,(901) 278-7484,
Novel,United States,Memphis,Bookstore,"387 Perkins Ext., Memphis, TN 38117",https://www.novelmemphis.com,orders@novelmemphis.com,(901) 922-5526,
Stock & Belle,United States,Memphis,Concept Store,"387 S. Main St., Memphis, TN 38103",https://stockandbelle.com,hello@stockandbelle.com,(901) 734-2911,
Dazzle,United States,Memphis,Gift Shop,"6150 Poplar Ave., Suite 116, Memphis, TN 38119",https://dazzleusa.com,info@dazzleusa.com,(901) 755-8393,
Thinker Toys,United States,Portland,Toy Store,"7784 SW Capitol Hwy, Portland, OR 97219",https://www.thinkertoystore.com/,info@thinkertoystore.com,(503) 245-3936,
Annie Bloom's Books,United States,Portland,Bookstore,"7834 SW Capitol Hwy, Portland, OR 97219",https://www.annieblooms.com,books@annieblooms.com,(503) 246-0053,
Mantel PDX,United States,Portland,Design Shop / Lifestyle Store,"8202 N Denver Ave, Portland, OR 97217",https://mantelpdx.com,shop@mantelpdx.com,(503) 289-0558,
No Land Beyond,United States,Baltimore,Board game bar and game shop,"108 W North Avenue, Baltimore, MD 21201",https://nolandbaltimore.com,info@nolandbaltimore.com,410-849-9416,
Canton Games,United States,Baltimore,Game shop,"2101 Essex St, Baltimore, MD 21231",https://cantongames.com,legenddan@cantongames.com,410-276-2640,
Silver Canon,United States,Baltimore,Game store,"131 S Schroeder St, Baltimore, MD 21223",https://silvercanon.com,silvercanonllc@gmail.com,443-483-3576,
Universal Comics,United States,Baltimore,Comic and game store,"5403 East Dr, Arbutus, MD 21227",https://universalcomics.com,shop@universalcomics.com,410-536-1210,
Alternate Worlds,United States,Baltimore,Comic and game store,"10854 York Rd, Cockeysville, MD 21030",https://alternateworldscomics.com,store@alternateworldscomics.com,410-666-3290,
Snug Books,United States,Baltimore,Bookstore / Gift Shop,"4717 Harford Rd, Baltimore, MD 21214",https://snugbooks.com,info@snugbooks.com,(410) 970-4990,
Co_Lab Books,United States,Baltimore,Bookstore / Design Shop,"2209 Maryland Ave, Baltimore, MD 21218",https://colabbooks.com,michael@colabbooks.com,(443) 388-9904,
American Visionary Art Museum Gift Shop,United States,Baltimore,Gift Shop / Design Shop,"800 Key Hwy, Baltimore, MD 21230",https://avam.org,info@avam.org,(410) 244-1900,
Bazaar,United States,Baltimore,Gift Shop / Concept Store,"3534 Chestnut Ave, Baltimore, MD 21211",https://bazaarbaltimore.com,bazaarbaltimore@gmail.com,(410) 235-0000,
Boswell Book Company,United States,Milwaukee,Bookstore,"2559 N Downer Ave, Milwaukee, WI 53211",https://www.boswellbooks.com,info@boswellbooks.com,,
Swoon Trinkets and Doodads,United States,Milwaukee,Gift Shop,"5422 W Vliet St, Milwaukee, WI 53208",https://swoonllc.com,hello@swoonllc.com,(414) 204-9579,
Tavern of Tales,United States,Boston,Tabletop Cafe,"1478 Tremont St, Boston, MA 02120",https://www.tavernoftales.com/,info@tavernoftales.com,(617) 708-0172,
Knight Moves Board Game Cafe,United States,Boston,Tabletop Cafe,"1402 Beacon St, Brookline, MA 02446",https://www.knightmovescafe.com/,info@knightmovescafe.com,(617) 487-5259,
Pandemonium Books & Games,United States,Boston,Hobby Shop,"4 Pleasant St, Cambridge, MA 02139",https://www.pandemoniumbooks.com/,general@pandemoniumbooks.com,(617) 547-3721,
Alpha Omega Hobby,United States,Boston,Hobby Shop,"1515 Hancock St, Quincy, MA 02169",https://www.alphaomegahobby.com/,ben@alphaomegahobby.com,(617) 328-1640,
Boing! Toy Shop,United States,Boston,Toy Store,"667 Centre St, Jamaica Plain, MA 02130",https://boingtoys.com/,info@boingtoys.com,(617) 522-7800,
Comicopia,United States,Boston,Comic Shop,"464 Commonwealth Ave, Boston, MA 02215",http://www.comicopia.com/,info@comicopia.com,(617) 266-4266,
Friar Tuck's Comics & Collectibles,United States,Boston,Comic Shop,"310 Harvard St, 2nd floor, Brookline, MA 02446",https://friartuckscomics.com/,rob@friartuckscomics.com,(617) 505-5559,
Eureka! Puzzles & Games,United States,Boston,Toy Store,"1355 Beacon St, Brookline, MA 02446",https://eurekapuzzles.com/,info@eurekapuzzles.com,(617) 738-7352,
