name,country,city,type,address,website,email,phone,status
Menzel & Woelke GmbH - Fachmarkt Wuppertal (ehemals Illert),Germany,Wuppertal,hobby shop,"Grabenstraße 4, 42103 Wuppertal, Germany",https://www.menzel-woelke.de/,info@menzel-woelke.de,0202 9765808,
Wuppertal Original,Germany,Wuppertal,gift shop,"Dorotheenstraße 2, 42105 Wuppertal, Germany",https://www.wuppertal-original.de/,kontakt@wuppertal-original.de,0162 5172372,
Nelly Living Wuppertal,Germany,Wuppertal,gift shop,"Nelly Living, Farbmühle 2, 42285 Wuppertal, Germany",https://nellyliving.de/,info@nellyliving.de,0177 4631149,
WupPerle,Germany,Wuppertal,gift shop,"Uellendahler Str. 485, 42109 Wuppertal, Germany",http://www.wupperle.de/,info@wupperle.de,0176 81756091,
Wuppertal Touristik,Germany,Wuppertal,gift shop,"Alte Freiheit 23, 42103 Wuppertal, Germany",http://www.wuppertalshop.de/,info@wuppertal-marketing.de,0202 5632180,
1001 Art,Germany,Wuppertal,gift shop,"Luisenstraße 104, 42103 Wuppertal, Germany",http://www.1001art.de/,info@1001art.de,0202 6951782,
Stöberkiste,Germany,Wuppertal,gift shop,"Märkische Str. 114, 42281 Wuppertal, Germany",http://stoeberkiste-wuppertal.de/,info@stoeberkiste-wuppertal.de,0202 524028,
Weltladen Wuppertal,Germany,Wuppertal,gift shop,"Kirchplatz 1, 42103 Wuppertal, Germany",http://www.weltladen-wuppertal.de/,info@weltladen-wuppertal.de,0202 2831366,
Tima Concept Store,Germany,Wuppertal,concept store,"Schwanenstraße 32, 42103 Wuppertal, Germany",https://tima-concept-store.de/,info@tima-concept-store.de,0202 28322319,
RosenHeim,Germany,Wuppertal,concept store,"Luisenstraße 92, 42103 Wuppertal, Germany",http://www.rosenheim-wuppertal.de/,info@rosenheim-wuppertal.de,0202 8978847,
Buchhandlung Nettesheim GmbH,Germany,Wuppertal,bookstore,"Hauptstraße 17, 42349 Wuppertal, Germany",https://nettesheim.com/,info@nettesheim.com,0202 472870,
LIGARTI,Germany,Wuppertal,design shop,"Sophienstraße 24, 42103 Wuppertal, Germany",https://ligarti.com/,info@ligarti.com,0202 25349300,
Tuffi Kinder Café,Germany,Wuppertal,tabletop cafe,"Oberdörnen 111, 42283 Wuppertal, Germany",https://tuffi-kindercafe.eatbu.com/?lang=de,tuffikindercafe@gmail.com,0202 25358964,
Café Ada,Germany,Wuppertal,tabletop cafe,"Wiesenstraße 6, 42105 Wuppertal, Germany",https://www.cafeada.de/,info@cafeada.de,0202 452715,
/dev/tal e.V.,Germany,Wuppertal,tabletop cafe,"Mirker Str. 48A, 42105 Wuppertal, Germany",http://devtal.de/,sneu@devtal.de,0202 39348657,
Spielraum Bielefeld,Germany,Bielefeld,board game store,"Am Sparrenberg 2, 33602 Bielefeld, Germany",http://www.spielraum-bielefeld.de/,info@spielraum-bielefeld.de,0521 39968174,
Back to Magic,Germany,Bielefeld,board game store,"Detmolder Str. 75, 33604 Bielefeld, Germany",https://www.back-to-magic.de/,bargenottogbr@gmx.de,0176 34664131,
Ringelreif,Germany,Bielefeld,board game store,"Obernstraße 15, 33602 Bielefeld, Germany",https://www.ringelreif.de/,info@ringelreif.de,0521 138200,
Drachenheld,Germany,Bielefeld,board game store,"Bahnhofstraße 28, 33602 Bielefeld, Germany",http://www.drachenheld.de/,drachenheld.info@gmail.com,,
Gamer Bielefeld - Die Gameshow,Germany,Bielefeld,board game store,"Otto-Brenner-Straße 245, 33604 Bielefeld, Germany",https://www.gamer.now/bielefeld?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_button,bielefeld@gamer.now,,
Wolpertinger der Spieleladen,Germany,Bielefeld,board game store,"Blessenstätte 25, 33330 Gütersloh, Germany",https://www.wolpertinger-der-spieleladen.de/,kontakt@wolpertinger-der-spieleladen.de,05241 5275528,
Konsolen Manufaktur,Germany,Bielefeld,board game store,"Altenhagener Str. 1, 33719 Bielefeld, Germany",http://www.konsolenmanufaktur.de/,info@konsolenmanufaktur.de,,
Renn Buggy Center Bielefeld,Germany,Bielefeld,toy store,"Heeper Str. 76, 33607 Bielefeld, Germany",http://www.renn-buggy-center-bielefeld.de/,info@renn-buggy-center-bielefeld.de,0521 45366060,
NAGOMI - Japanische Lebensart,Germany,Bielefeld,Japanese store,"Staudenweg 4, 33729 Bielefeld, Germany",http://www.japanische-lebensart.de/,service@japanische-lebensart.de,05731 4986526,
Die Geschenkstube,Germany,Bielefeld,gift shop,"Neustädter Str. 14, 33602 Bielefeld, Germany",http://www.die-geschenkstube.de/,info@die-geschenkstube.de,0521 64678,
anju concept store,Germany,Bielefeld,gift shop,"Meindersstraße 8, 33615 Bielefeld, Germany",https://www.anju-conceptstore.de/,info@anju-conceptstore.de,0176 70065255,
carofino,Germany,Bielefeld,gift shop,"Im Crüwell-Haus, Obernstraße 1A, 33602 Bielefeld, Germany",http://carofino.de/,info@carofino.de,0521 2607580,
Ren4 concept store,Germany,Bielefeld,concept store,"Renteistraße 4, 33602 Bielefeld, Germany",http://www.ren4.de/,info@ren4.de,0231 13474954,
Pagenberg Concept Store,Germany,Bielefeld,concept store,"Salzufler Str. 2, 33719 Bielefeld, Germany",https://www.pagenberg-concept-store.de/,info@pagenberg-concept-store.de,0521 332217,
