name,country,city,type,address,website,email,phone,status
Supernova Buzin,Croatia,Zagreb,Japan shop,"Av. Većeslava Holjevca 62, 10010, Buzin, Croatia",https://www.supernova-zagreb.hr/,info.buzin@supernova.hr,099 589 8008,
Sol i papar,Croatia,Zagreb,Japan shop,"Vlaška ul. 78, 10000, Zagreb, Croatia",http://www.solipapar.com/,solipapar@solipapar.hr,01 4610 355,
ROXY,Croatia,Zagreb,Japan shop,"Savska cesta 34, 10000, Zagreb, Croatia",http://www.cdshop-roxy.com/,info@cdshop-roxy.com,,
Hobby Art Chemaco,Croatia,Zagreb,hobby shop,"Ul. grada Vukovara 226B, 10000, Zagreb, Croatia",https://www.chemaco.hr/,info@chemaco.hr,01 6114 711,
AGM Art Point Centar,Croatia,Zagreb,hobby shop,"Gundulićeva ul. 21, 10000, Zagreb, Croatia",http://www.agm.hr/,agm.prodaja@zgh.hr,,
Hobby Art Chemaco,Croatia,Zagreb,hobby shop,"Petrinjska ul. 31/1, 10000, Zagreb, Croatia",http://www.chemaco.hr/,info@chemaco.hr,01 5811 475,
Baobab Souvenir Shop,Croatia,Zagreb,gift shop,"Fakultetsko dobro, 10000, Zagreb, Croatia",https://www.zoo.hr/,info@zoo.hr,098 765 432,
Kredenca Zagreb,Croatia,Zagreb,gift shop,"Ul. Pavla Radića 13, 10000, Zagreb, Croatia",http://www.kredenca.com/,info@kredenca.com,091 544 7294,
"Souvenirs ""Bloody Bridge""",Croatia,Zagreb,gift shop,"Krvavi Most 3, 10000, Zagreb, Croatia",https://citypal.me/locations/zagreb/fun-shopping/souvenir-shop/,souvenirs.more.zagreb@gmail.com,,
Ornament,Croatia,Zagreb,gift shop,"Ilica 14, 10000, Zagreb, Croatia",http://www.ornament.hr/,ornamentzadar@gmail.com,01 4833 047,
MAŠ Forma,Croatia,Zagreb,gift shop,"Alagovićeva ul. 46, 10000, Zagreb, Croatia",http://www.mas-forma.hr/,mas-forma@mas-forma.hr,098 921 7913,
GARDEROBA Concept Store ZAGREB,Croatia,Zagreb,concept store,"Martićeva ul. 17, 10000, Zagreb, Croatia",http://garderobastore.hr/,info@garderobastore.hr,01 7701 177,
indigo store,Croatia,Zagreb,concept store,"Ul. Ivana Dežmana 5, 10000, Zagreb, Croatia",http://indigostore.hr/,info@indigostore.hr,01 4849 225,
Maria Store - Zagreb,Croatia,Zagreb,concept store,"Masarykova ul. 8, 10000, Zagreb, Croatia",http://www.mariastore.hr/,info@mariastore.hr,01 4811 011,
Selectedd concept design store,Croatia,Zagreb,concept store,"pro. Jurja Ratkaja 10, 10000, Zagreb, Croatia",http://www.selectedd.hr/,contact@selectedd.hr,091 211 0002,
Carta Magica Game Shop,Croatia,Split,board game store,"Frankopanska ul. 20, 10000, Zagreb, Croatia",http://www.cartamagica.hr/,webshop@cartamagica.hr,,
"WORLD MEDIA, Mall of Split",Croatia,Split,board game store,"Ul. Josipa Jovića 93, 21000, Split, Croatia",https://www.svijet-medija.hr/,servis@svijet-medija.hr,021 721 012,
Carta Magica Hobby Shop,Croatia,Split,board game store,"Frankopanska ul. 24, 10000, Zagreb, Croatia",https://www.cartamagica.hr/,webshop@cartamagica.hr,01 5813 691,
Müller,Croatia,Split,board game store,"Put Brodarice 6, 21000, Split, Croatia",https://www.mueller.hr/moja-poslovnica/,info@mueller.hr,021 396 770,
Joker Mall,Croatia,Split,game shop,"Put Brodarice 6, 21000, Split, Croatia",http://www.joker.hr/,info@joker.hr,021 396 909,
"GameStore (gamestore.hr) - GameStore je trgovina i servis igraćih konzola, dodatne gaming, opreme, mobitela i tableta.",Croatia,Split,game shop,"Tržnica Savica 1.kat, Lastovska ul. 2a, 10000, Zagreb, Croatia",http://www.gamestore.hr/,info@gamestore.hr,092 334 4455,
Sophos Lab Rijeka d.o.o.,Croatia,Split,game shop,"Ul. Janka Polića Kamova 81a, 51000, Rijeka, Croatia",https://www.sophoslab.hr/,rijeka@sophoslab.hr,051 403 991,
Mall of Split,Croatia,Split,game shop,"Ul. Josipa Jovića 93, 21000, Split, Croatia",http://www.mallofsplit.hr/,info@mallofsplit.hr,021 444 397,
INSTAR INFORMATIKA,Croatia,Split,game shop,"Ul. Josipa Jovića 93, 21000, Split, Croatia",http://www.instar-informatika.hr/,veleprodaja@instar-informatika.hr,021 243 999,
Links Split Koteks,Croatia,Split,game shop,"Ul. Matice hrvatske 1, 21000, Split, Croatia",http://www.links.hr/,webshop@links.hr,021 385 103,
Kaufland Split,Croatia,Split,game shop,"114.Brigade 6, 21000, Split, Croatia",https://www.kaufland.hr/?cid=F14685B02C1000K23556W01000000,kontakt@kaufland.hr,0800 223 223,
InGames,Croatia,Split,game shop,"Baštijanova ul. 7G, 51000, Rijeka, Croatia",http://ingames.hr/,info@ingames.hr,051 227 528,
Müller,Croatia,Split,game shop,"Vukovarska ul. 207, 21000, Split, Croatia",https://www.mueller.hr/moja-poslovnica/,info@mueller.hr,021 434 540,
ASIAN Spice,Croatia,Split,Japanese store,"Sinjska ul. 7, 21000, Split, Croatia",https://www.asianspice.eu/en,asianspicecroatia@gmail.com,095 387 1150,
NIHON Ltd.,Croatia,Split,Japan shop,"Spinutska ul. 65, 21000, Split, Croatia",http://nihon.hr/,info@nihon.hr,021 322 977,
Vandal shop SPLIT,Croatia,Split,Japan shop,"TC Joker, Put Brodarice 6, 21000, Split, Croatia",http://www.vandalshop.hr/,info@vandalshop.hr,021 321 029,
Art Shop,Croatia,Split,hobby shop,"Mažuranićevo šetalište 26, 21000, Split, Croatia",https://artshop.hr/,info@artshop.hr,091 615 6332,
Supplies for jewelry Split | ANA,Croatia,Split,hobby shop,"Vukovarska ul. 184, 21000, Split, Croatia",http://repromaterijaliana.hr/,repromaterijaliana@gmail.com,095 519 8694,
Dobra kob d.o.o,Croatia,Split,hobby shop,"Ul. Julija Klovića 13, 21000, Split, Croatia",http://www.dobrakob.hr/,vmartic@dobrakob.hr,021 780 357,
MarisStella,Croatia,Split,hobby shop,"Vranjički put 8, 21000, Split, Croatia",http://www.marisstella.hr/,marisstella@st.t-com.hr,021 544 412,
Break Time Croatia - Nautical Jewellery Shop,Croatia,Split,gift shop,"Trogirska ul. 8, 21000, Split, Croatia",http://www.nautical-bracelets.com/,info@nautical-bracelets.eu,091 594 7410,
OCEALURA Artisan Gift shop & Souvenirs,Croatia,Split,gift shop,"Ul. Mihovilova širina 13, 21000, Split, Croatia",http://www.ocealura.com/,info@ocealura.com,,
Sophos Lab Rijeka d.o.o.,Croatia,Rijeka,board game store,"Ul. Janka Polića Kamova 81a, 51000, Rijeka, Croatia",https://www.sophoslab.hr/,rijeka@sophoslab.hr,051 403 991,
InGames,Croatia,Rijeka,board game store,"Baštijanova ul. 7G, 51000, Rijeka, Croatia",http://ingames.hr/,info@ingames.hr,051 227 528,
Instar informatics,Croatia,Rijeka,board game store,"Fiumara ul. 15, 51000, Rijeka, Croatia",http://www.instar-informatika.hr/,veleprodaja@instar-informatika.hr,051 309 599,
Magic Omens - TCG & Board Games Shop,Croatia,Rijeka,board game store,"Savska cesta 144A, 10000, Zagreb, Croatia",https://magicomens.com/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,contact@magicomens.com,091 982 0250,
Carta Magica Game Shop,Croatia,Rijeka,board game store,"Frankopanska ul. 20, 10000, Zagreb, Croatia",http://www.cartamagica.hr/,webshop@cartamagica.hr,,
Znanje Rijeka,Croatia,Rijeka,board game store,"Užarska ul. 1, 51000, Rijeka, Croatia",https://znanje.hr/,webshop@znanje.hr,051 582 091,
Müller,Croatia,Rijeka,board game store,"Ul. Janka Polića Kamova 81, 51000, Rijeka, Croatia",https://www.mueller.hr/moja-poslovnica/,info@mueller.hr,051 244 303,
Anime Shop BIG3 - Rijeka,Croatia,Rijeka,toy store,"Ul. Janka Polića Kamova 81a, 51000, Rijeka, Croatia",https://www.animeshopbig3.hr/,info@animeshopbig3.hr,098 966 3117,
Müller,Croatia,Rijeka,toy store,"Trg Ivana Koblera 1, 51000, Rijeka, Croatia",https://www.mueller.hr/moja-poslovnica/,info@mueller.hr,051 228 961,
Webshop didaktike i senzorike,Croatia,Rijeka,toy store,"Marinići 27a, 51216, Viškovo, Croatia",http://www.inc.hr/,info@inc.hrtrgovina,051 587 296,
Pet centar,Croatia,Rijeka,toy store,"Škurinjska cesta 1, 51000, Rijeka, Croatia",https://www.pet-centar.hr/,webshop@pet-centar.hr,051 266 113,
ZTC,Croatia,Rijeka,toy store,"Zvonimirova ul. 3, 51000, Rijeka, Croatia",https://ztc.hr/,info@ztc.hr,051 561 014,
TEDI Poslovanje d.o.o.,Croatia,Rijeka,toy store,"Korzo 12, 51000, Rijeka, Croatia",https://www.tedi.com/stores/1859/HR/Primorsko-goranska-%C5%BEupanija/Rijeka-Korzo/Korzo-12,presse@tedi.com,01 4859 900,
